Player,% Pass Completion,Completed Short Pass,% Short Pass Completion,Completed Long Pass,% Long Pass Completion,Prg. Pass,Tackles Won,Tackles Defensive 3rd,Tackles Middle 3rd,Dribblers Tackled,Interceptions,Clearances,Touches Defensive 3rd,Touches Middle 3rd,Take-Ons Attempts,Successful Take-Ons,% Successful Take-Ons,Prg. Carries
Tosin Adarabioyo,82,11.4,86.3,5.86,9.61,4.09,0.56,0.95,0.26,0.69,1.12,6.03,33.4,31.6,0.3,0.22,71.4,0.69
Nayef Aguerd,78.5,12.7,91.8,4.63,9.55,1.41,1.02,1.02,0.45,0.73,1.02,4.46,31.8,20.2,0.34,0.23,66.7,0.11
Manuel Akanji,93,34.1,96.1,4.61,6.54,4.57,0.98,0.59,0.71,0.91,0.63,1.3,32.1,49.1,0.47,0.24,50,0.94
Nathan Aké,90.4,38.6,94.9,3.03,4.71,6.73,0.58,0.72,0.43,0.53,0.96,2.31,29.6,52.7,0.24,0.14,60,1.2
Daniel Amartey,91.1,24.7,93.4,3.46,5.08,3.69,0.45,0.73,0.28,0.67,0.45,3.97,36.8,32.3,0.28,0.11,40,1.28
Joachim Andersen,79.2,11.2,88.5,9.09,17.3,3.4,0.71,0.97,0.39,0.52,0.78,6.08,39.9,32.2,0.29,0.16,55.6,0.52
Jan Bednarek,83.5,15.8,86.9,3.87,6.67,2.42,1.13,1.08,0.38,0.65,2.63,4.68,34.1,24.7,0.11,0.05,50,0.43
Armel Bella Kotchap,79.9,13.9,89.2,3.21,7.61,1.87,0.81,1.34,0.43,0.72,2.11,5.26,31.3,24.8,0.53,0.19,36.4,0.43
Sven Botman,86.5,13.8,88.4,5.13,7.44,2.51,0.69,0.89,0.2,0.63,0.98,3.63,34.2,23.1,0.03,0.03,100,0.23
Trevoh Chalobah,87.6,23.4,89.7,3.91,5.98,3.97,1.12,1.23,0.34,1.34,1.34,3.13,33.6,33.7,0.56,0.45,80,0.95
Conor Coady,84.8,12.2,94,6.65,11.5,1.85,0.39,0.34,0.26,0.3,0.6,3.78,34.1,23.5,0.13,0,0,0.17
Nathan Collins,88,15,91.6,5.64,8.32,3.17,0.74,0.94,0.4,0.74,1.04,4.16,39.7,24.8,0.4,0.35,87.5,0.54
Liam Cooper,78.6,15.3,88,3.29,7.41,2.97,1.46,1.71,0.57,1.46,2.15,3.61,31.6,27.8,0.25,0.06,25,0.19
Ben Davies,81.2,19.7,89.4,2.72,5.35,4.21,0.43,0.51,0.51,0.55,0.71,2.83,20.2,29.5,0.59,0.2,33.3,1.54
Craig Dawson,84.2,14.7,89.9,7.77,12.3,2.8,0.38,0.38,0.19,0.25,0.76,4.71,39.4,27.8,0.25,0.19,75,0.32
Rúben Dias,92.7,31.4,95.9,6.44,9.14,4.41,0.59,0.45,0.45,0.5,0.81,2.52,39.7,57.7,0.45,0.36,80,0.63
Eric Dier,85.4,20.3,92.4,5.72,10.1,2.78,0.61,0.51,0.38,0.29,1.12,3.58,42.6,27.7,0.19,0.1,50,0.29
Issa Diop,86.9,17.2,90.4,5,8.44,3.13,0.85,0.8,0.4,0.76,1.56,3.84,37,34,0.22,0.13,60,0.58
Gabriel Dos Santos,89.4,23,94.4,3.96,6.49,4.04,0.79,0.77,0.4,0.47,0.84,3.3,30.4,37.4,0.08,0.05,66.7,0.47
Lewis Dunk,90.3,29.6,94.5,7.75,11.9,4.39,0.53,0.53,0.25,0.5,0.94,2.25,46.3,47.6,0.14,0.11,80,0.53
Wout Faes,85.6,19.1,90.7,3.74,7.03,2.39,1.06,0.9,0.84,0.9,1.32,3.65,39.7,29.5,0.39,0.29,75,0.35
Felipe,72.4,9.75,82.4,3.16,7.09,1.39,1.46,1.84,0.82,1.52,2.28,5.7,30.2,17.4,1.14,0.89,77.8,0.19
Joe Gomez,85.7,20.6,88.7,7.79,12.1,6.63,1.29,0.92,0.67,0.67,1.47,3.13,36.9,52.2,0.31,0.25,80,0.92
Marc Guéhi,85.3,15.8,91,5.84,10.4,2.86,0.73,1.05,0.3,0.7,1.22,3.62,38.2,29.1,0.57,0.38,66.7,0.46
Thilo Kehrer,83.4,15.8,87.9,2.74,4.8,2.42,0.97,1.01,0.56,0.85,1.37,3.06,24.2,24,0.44,0.32,72.7,0.6
Lloyd Kelly,80.2,15.5,91,4.58,10,2.07,0.79,1.01,0.4,0.57,1.15,4.45,33.1,23.2,0.31,0.04,14.3,0.62
Max Kilman,83,15.6,92.4,5.15,10.5,3.46,0.54,0.71,0.25,0.44,0.52,4.47,39.8,25.9,0.68,0.52,76,0.82
Robin Koch,77.1,11.6,84.3,3.99,8.07,3.23,0.85,0.91,0.45,0.68,1.22,4.31,29.8,23.2,0.08,0.03,33.3,0.31
Ibrahima Konaté,87,21.7,90.6,3.43,6.34,3.26,1.51,1.45,0.76,0.93,1.51,3.55,34.2,40.2,0.81,0.58,71.4,0.41
