Player,Assist,Expected Assist,Key Pass,Pass into Final 3rd,Pass into Pen. Area,Cross into Pen. Area,Prg. Pass,Tackles Won,Tackles Defensive 3rd,Tackles Middle 3rd,Tackless Attack 3rd,Dribblers Tackled,Interceptions,Clearances,Touches Defensive 3rd,Touches Middle 3rd,Touches Attacking 3rd,Carries,Prg. Carries,Carries into Final 3rd,Carries into Pen. Area
Angeliño,0.27,0.26,1.72,2.82,1.79,1,3.71,0.82,0.65,0.62,0.1,0.79,0.86,2.3,2.68,17.4,26.5,39.3,50.1,0.82,0.89
Mitchel Bakker,0.11,0.07,0.92,1.96,0.76,0.11,3.1,0.43,0.49,0.38,0,0.33,0.82,1.09,1.74,18,31,53.8,73.5,1.52,0.92
Ridle Baku,0.1,0.17,0.98,4.04,1.29,0.49,4.39,0.91,1.01,0.59,0.14,1.11,0.73,2.06,2.79,18.2,30.7,44.3,83,1.74,0.8
Ramy Bensebaini,0.04,0.1,0.54,2.93,1.09,0.11,3.66,0.76,0.76,0.36,0.11,0.94,1.3,3.55,5,24.8,31.5,50,72.9,1.45,0.87
Cédric Brunner,0,0.09,0.78,1.79,1.01,0.7,3,1.05,1.01,0.43,0.08,1.17,1.67,3.07,4.12,20.4,23.7,6.7,56.5,1.25,1.25
Anthony Caci,0.04,0.1,0.93,3.76,1.28,0.66,3.98,1.46,1.42,0.88,0.27,1.24,2.39,1.77,3.58,20.3,29.5,52.4,65,0.88,0.71
Alphonso Davies,0.18,0.19,1.94,4.85,1.72,0.22,5.86,1.23,1.1,0.57,0.31,0.79,1.06,1.06,2.25,19.6,40.2,39.3,194.6,5.15,2.91
Jeremie Frimpong,0.23,0.21,1.5,1.3,0.9,0.37,2.06,0.9,0.73,0.86,0.17,0.76,0.53,1.33,1.56,11.6,22.3,30.9,149.3,5.15,3.42
Cristian Gamboa,0,0.04,0.55,3.48,0.85,0.55,3.41,1.46,1.65,0.85,0.06,1.28,0.98,2.07,3.78,18,24,42.9,43.8,0.61,0.55
Raphaël Guerreiro,0.47,0.31,2.28,5.31,2.13,0.43,7.52,0.79,0.51,0.59,0.31,0.83,1.42,0.91,2.13,17,37.4,40.4,135.4,3.35,2.32
Robert Gumny,0.09,0.04,0.4,1.34,0.45,0.18,2.5,1.07,0.58,0.67,0.27,0.49,1.16,2.77,3.62,17.1,19.3,47.6,39.6,1.03,0.89
Christian Günter,0.13,0.17,1.93,1.8,1.18,0.92,2.52,0.69,0.59,0.3,0.07,0.43,0.52,1.34,1.93,11,22.3,31.3,46.4,1.41,1.08
Marcel Halstenberg,0.06,0.1,1.1,2.83,0.92,0.29,3.41,1.21,1.16,0.87,0.29,1.33,1.21,1.68,2.2,23.6,37.7,41.2,86.6,1.27,1.1
Jonas Hector,0.06,0.14,1.02,2.74,0.51,0.29,4.11,2.1,1.88,1.37,0.32,2.1,1.24,2.36,4.04,21.3,33.8,25.4,82.1,1.72,1.4
Benjamin Henrichs,0.08,0.14,0.82,3.79,1.28,0.41,4.49,1.89,1.69,1.19,0.12,1.77,1.44,1.89,2.67,21.4,35.9,34.2,96.5,1.98,1.48
Iago,0.11,0.1,0.56,1.85,0.96,0.39,2.98,0.9,1.12,0.56,0.22,0.62,0.96,2.98,3.71,16.9,22.2,50,59.2,1.52,0.67
Anthony Jung,0.17,0.06,0.76,1.92,0.62,0.27,2.51,0.93,0.65,0.69,0.24,1.07,0.76,2.16,3.16,19.6,26.4,45.8,53.6,0.96,0.72
Pavel Kadeřábek,0.05,0.21,0.97,2.49,1.57,1.08,3.3,1.08,0.54,0.49,0.38,0.81,0.76,2,2.43,12.5,23.2,61.5,59.9,1.62,1.35
Jonjoe Kenny,0.04,0.07,0.68,3.57,0.52,0.36,3.94,1.37,1.08,0.64,0.12,0.96,1.85,2.97,3.69,20.4,28.8,30.4,58.9,1.2,0.96
Lukas Kübler,0.05,0.04,0.38,3.24,0.49,0.22,3.13,1.37,1.32,0.49,0.22,0.99,1.59,2.75,4.29,19,26.7,37.5,42.6,0.6,0.55
Aarón Martín,0.15,0.17,1.32,3.32,1.41,0.78,4.2,1.32,1.22,0.54,0.29,1.02,0.73,1.51,2.29,14.8,25.5,38.1,59.4,1.22,0.93
Paulo Otávio,0.22,0.15,1.01,3.04,1.23,0.75,4.32,2.03,2.03,0.75,0.4,1.94,1.32,3.08,3.66,22.4,29.8,40.4,99.7,1.81,1.06
