Player,Prg. Pass Distance,Expected Assist,Key Pass,Pass into Final 3rd,Pass into Penalty Area,Prg. Pass,Tackles Won,Tackles Defensive 3rd,Tackles Middle 3rd,Tackles Attacking 3rd,Interceptions,Dribblers Tackled,Carries,Prg. Carries,Carries into Final 3rd,Carries into Penalty Area,Pass Received,Prg. Passes Received
Paul Akouokou,188.5,0,0,5.25,0,1.5,0.5,0,0.75,0.5,1.75,0.75,40.8,0.75,1,0,46.5,0.5
Luis Alberto,363.2,0.26,1.76,13.2,2.65,12.4,0.88,0.88,0.29,0,0.29,0.29,75.9,3.53,5.29,0,77.1,5.29
Richard Almeida,316.2,0.03,0.59,8.24,0.88,7.65,0,0.29,0.59,0,0.59,0.29,50.6,0.59,0.59,0,62.4,1.47
Nadiem Amiri,186.7,0,0.33,3,1.33,5.33,1,0.67,1.33,0,1,0.67,51.7,2,3,0,62,4
Robert Andrich,188.4,0.06,0.63,2.86,0,3.02,1.27,0.95,0.63,0.32,1.11,0.63,34.8,1.11,2.06,0.16,44.4,0.32
Willian Arão,247.4,0.14,0.86,5.71,1.43,6,1.14,0.29,1.43,0.29,1.14,0.57,17.7,0.29,1.14,0,31.1,0.29
Cédric Badolo,113.2,0.07,1.5,3,0.5,3.67,1.67,0.67,1,0.67,1.17,0.83,21.8,1.83,1.5,0.5,25.7,3.17
Anastasios Bakasetas,276.3,0.29,4.31,7.25,1.76,9.22,0.98,0.59,0.39,0.2,0.39,0.39,57.8,2.35,1.76,0.59,62.7,4.31
Enis Bardhi,105.8,0.11,1.11,2.78,1.39,4.17,0.83,0,0.28,0.83,0.56,0.56,30.8,1.67,1.67,1.11,31.4,4.44
Patrick Berg,241.6,0.14,1.2,4.2,0.8,6.8,2,1.2,1,0.4,1.2,0.6,29.8,1,0.8,0,42.6,1.2
Muhamed Bešić,213.9,0.08,1.11,4.72,0.56,3.06,1.39,1.67,1.39,0.56,1.39,1.39,32.5,2.22,1.11,0.28,32.8,1.39
Pep Biel,143.9,0.09,2.05,2.27,0.68,3.18,1.14,0.68,0.68,0.68,0.23,0.68,23.4,0.68,1.36,0.23,28.2,5.23
Ludovic Blas,135.2,0.21,2,3.33,1.47,4.4,0.27,0.13,0.4,0,0.53,0,36.9,4.27,3.2,1.47,38.7,7.47
Artem Bondarenko,138.7,0.03,0.51,1.03,0.51,3.08,1.03,1.28,0.26,0,0.77,1.03,35.9,0.77,1.54,0,44.6,1.28
Kady Borges,160.7,0.42,2.81,2.98,1.93,7.02,0.88,1.05,0.35,0.35,1.05,0.7,29.8,3.86,2.98,1.23,31.2,5.44
Andreas Bouchalakis,218.8,0.05,0.73,4.15,0.24,4.15,0,0.24,0.24,0,0.73,0.49,38.5,0.24,0.73,0,43.7,1.22
Nassim Boujellab,73.3,0.15,1.85,1.48,0.74,2.59,0,1.11,0.74,0,0,1.11,23.7,2.22,1.48,0.74,27.8,3.7
Benjamin Bourigeaud,249.8,0.3,2.81,2.98,1.4,4.74,0.7,0.7,1.05,0.18,0.18,0.88,39.5,1.58,1.75,0.18,38.8,5.26
Edoardo Bove,113.2,0.07,0.71,2.5,0.71,3.57,2.5,2.5,0.36,0,1.07,2.5,26.8,0.71,1.43,0.36,26.4,0.71
Osman Bukari,60.5,0.26,1.79,1.03,1.28,1.54,0.26,0,0.26,0,0.51,0,25.9,3.85,2.31,1.03,28.5,11
Mohamed Camara,214.2,0.03,0.42,4.31,0.42,5.42,1.11,1.53,0.42,0.28,0.83,1.25,43.2,0.69,1.53,0,38.5,1.39
Sergio Canales,258.1,0.24,2.41,6.85,2.04,8.52,0.19,0.19,0.74,0,0.56,0.74,62.4,3.89,4.07,0.19,68.9,5
William Carvalho,329.2,0.03,1.08,7.03,0.54,8.11,1.35,0.81,0.81,0,0.54,1.08,52.7,0.81,1.89,0,62.7,1.08
Casemiro,363.4,0.12,1.18,7.09,0.64,7.27,1.27,1.73,1.09,0.09,1.55,1.18,44,1.18,0.45,0,50.5,1.73
Moreto Cassamã,210,0,0,2.43,0.54,3.51,0.81,0.54,1.35,0,1.35,0.81,30.5,0.81,0,0,33.2,0.81
André Castro,158.6,0.03,1.03,5.52,0,5.86,1.38,0.69,1.38,0.34,1.03,0.69,36.9,1.03,1.72,0,36.9,1.03
Danilo Cataldi,288.5,0.05,0.73,5.85,0.49,4.63,0.24,0,0.73,0,0.98,0.49,65.1,0.24,0.73,0,60.7,0.73
Joseph Ceesay,52.9,0.06,0.32,0.65,0.65,1.61,0.65,0.32,0.32,0.32,0.97,0.32,21.6,2.58,2.58,0.32,27.7,7.42
Charalampos Charalampous,129.6,0.02,0.4,1,0.6,3.4,1,0.8,1.2,0.2,1,0.8,28,0.6,1,0.2,29.2,3
Pedro Chirivella,309,0.08,1.35,7.12,0.96,8.46,1.15,0,1.35,0,0.77,0.58,50,0.58,1.73,0,54,0.96
Crespo,167.7,0.04,0.21,3.33,0.83,4.17,2.5,0.83,1.88,0.83,0.63,1.25,34.8,1.04,1.67,0,44.6,2.5
Bryan Cristante,207.7,0.09,0.69,3.03,0.83,3.66,1.52,1.03,1.52,0.14,1.24,1.03,34.4,0.48,0.9,0,35.1,1.45
Kerem Demirbay,286.9,0,0.34,7.59,2.07,6.55,1.72,2.07,1.72,0.34,1.38,1.38,53.1,1.03,3.1,0.34,64.8,1.38
Krépin Diatta,118.2,0.2,1.97,2.13,1.8,3.77,0.49,0,0.33,0.16,1.15,0.16,39.2,2.46,2.62,1.15,37.9,12.1
Mouhamed Diop,93.6,0.02,1.03,2.24,0,2.41,0.69,0.17,0.69,0,0.17,0.34,16.6,1.38,1.38,0,18.6,1.38
Mix Diskerud,118.9,0,0.37,2.59,0,1.85,0.37,0.37,1.48,0,0.74,0.74,23.3,0.37,0.37,0,24.1,0.74
Ritsu Doan,104.2,0.12,1.15,2.12,0.58,3.08,1.15,0.77,1.35,0.38,0.58,0.96,33.5,2.5,1.92,1.35,35.4,8.27
Jeremy Doku,90.4,0.85,3.46,0.38,4.23,3.46,1.15,0.38,0.38,0.38,0,0.38,39.2,6.54,4.62,2.31,38.1,10
Paulo Dybala,155.7,0.35,2.3,2.7,1.76,5,0.27,0.54,0,0.14,0.41,0.41,34.2,2.16,1.49,1.22,34.1,6.35
Blerim Džemaili,122.1,0.03,0.34,2.07,1.38,4.14,0.69,0.69,0.34,0.34,0.69,0.69,26.2,1.03,1.03,0,33.1,3.1
Marcus Edwards,109.3,0.43,1.9,1.72,0.86,4.14,0.69,0.17,0.17,0.69,0.17,0.17,34.7,4.31,2.41,2.76,34.1,8.1
Maximilian Eggestein,164.1,0.02,0.68,4.77,0.45,4.77,0.91,0.45,0.45,0.23,1.14,0.91,30.9,0.68,1.14,0,37.3,2.5
Christian Eriksen,384.1,0.25,3.39,10.5,1.69,10.2,0.51,0.51,0.34,0,0.51,0.51,61.9,2.88,3.56,0,67.3,3.05
Albert Erlykke,70.7,0.12,0.95,1.67,0.71,3.57,0.95,0.71,0.48,0,1.67,0.24,24.8,3.57,2.86,1.19,27.1,6.43
Anderson Esiti,228.6,0.04,1.07,1.79,0,2.5,3.57,3.93,2.86,0,0.36,2.14,35,0.71,1.07,0,31.1,0.36
Evander,160.5,0.26,2.81,4.39,1.05,5.61,1.4,1.4,0.7,0.35,0.88,1.58,30.5,1.93,1.58,0.18,31.8,3.16
Nicolò Fagioli,101,0.05,1.25,2.25,0.25,2.5,1.75,1,0.25,0.75,0.75,0.75,33.8,0.75,0.75,0.75,31.3,3.75
Bruno Fernandes,262,0.51,3.23,5.52,2.71,6.67,0.83,0.73,0.63,0.21,0.73,0.73,41.6,2.6,1.04,0.94,48.4,7.4
Fernando,189.6,0.01,0.42,3.16,0.21,4.11,0.84,0.95,0.53,0,1.47,0,30.7,0.63,1.37,0.11,30.6,0.32
Youssouf Fofana,239.7,0.1,1.01,5.19,1.39,8.48,1.65,0.89,1.27,0.13,0.89,0.76,48.6,3.29,3.29,0.25,42.4,3.29
Fred,170.5,0.05,1.36,4.92,0.68,4.58,1.19,1.53,1.19,1.02,1.02,1.36,38,0.85,1.19,0.34,42.4,5.42
Gara Garayev,320.7,0.07,1.14,5.45,0.45,7.27,1.59,1.14,1.14,0.45,0.91,1.59,40.7,0.45,0.45,0.23,43.2,0.23
Jean-Philippe Gbamin,164.2,0.08,1.54,4.62,0,3.08,1.15,0.77,0.38,0,0.38,0.77,45,1.54,3.08,0,41.9,0.38
Amer Gojak,126.7,0.03,0.67,2,1,3.33,0,0,0.67,0.33,1,0.33,32.7,3.67,2,0.67,33.3,6.33
Aleksandr Golovin,145.7,0.1,1.94,1.19,1.94,4.33,0.75,0.9,0.45,0.6,1.49,0.75,35.5,2.54,2.39,0.45,33,8.96
Pedro Gonçalves,161.3,0.27,1.67,3.83,1.67,6.67,1.67,1,1,0,0.5,0.67,35.5,2,2.5,0.33,35.7,5.5
Jon Gorenc Stanković,199.5,0.02,0.48,5,0.71,6.9,1.67,0.48,0.95,0.24,2.14,0.48,31.2,0.24,2.14,0.24,31.4,0.95
Vincenzo Grifo,331.3,0.21,2.5,7.32,2.32,9.29,0.89,0.18,0.54,0.54,0,0.71,54.8,4.82,5.18,1.07,63.4,7.68
Andrés Guardado,225.8,0,0,5,0.83,4.44,2.78,1.39,2.22,0,1.94,2.22,55.3,0.56,2.78,0,53.1,1.67
Ander Guevara,226.9,0.05,1.43,4.29,0.71,5.48,0.71,0.95,0.48,0,0.48,0.71,40,1.43,1.9,0.24,48.1,3.1
Arda Güler,231.5,0.15,1.54,3.85,2.31,6.92,1.92,0.38,1.15,2.31,1.54,1.54,45.4,3.46,3.08,0.77,61.5,6.54
Luís Gustavo Ledes,202.8,0.08,1,2,0.4,4.2,0.4,0.4,0.4,0.2,1.8,0.2,24,0.4,0.6,0,25.8,0.4
