date,name,rank,value,group,goal,order,value_2
18.08.13,⚽️Trabzonspor  ,17.),90,13/14,0,1,90
22.08.13,Tromsø,,90,13/14,0,2,93
26.08.13,K. Erciyesspor  ,10.),90,13/14,0,3,90
29.08.13,Tromsø,,90,13/14,0,4,93
01.09.13,Gaziantepspor  ,15.),90,13/14,1,5,90
15.09.13,Bursaspor  ,10.),90,13/14,0,6,90
22.09.13,Galatasaray  ,7.),90,13/14,0,7,90
30.09.13,Antalyaspor  ,17.),90,13/14,0,8,90
05.10.13,Eskişehirspor  ,6.),90,13/14,0,9,90
21.10.13,Ç. Rizespor  ,3.),0,13/14,0,10,90
26.10.13,Akhisar Belediye  ,8.),16,13/14,0,11,90
03.11.13,Karabükspor  ,13.),90,13/14,0,12,90
09.11.13,Kayserispor  ,17.),90,13/14,0,13,90
25.11.13,Konyaspor  ,14.),90,13/14,0,14,90
30.11.13,Fenerbahçe  ,1.),90,13/14,0,15,90
09.12.13,Sivasspor  ,6.),90,13/14,0,16,90
21.12.13,Elazığspor  ,18.),0,13/14,0,17,90
27.12.13,Gençlerbirliği  ,13.),0,13/14,0,18,90
25.01.14,Trabzonspor  ,7.),90,13/14,0,19,90
31.01.14,K. Erciyesspor  ,18.),90,13/14,0,20,90
07.02.14,Gaziantepspor  ,11.),90,13/14,0,21,90
11.02.14,Kasımpaşa  ,2.),90,13/14,0,22,90
16.02.14,Bursaspor  ,10.),90,13/14,0,23,90
22.02.14,Galatasaray  ,3.),90,13/14,0,24,90
28.02.14,Antalyaspor  ,14.),90,13/14,0,25,90
09.03.14,Eskişehirspor  ,9.),0,13/14,0,26,90
15.03.14,Ç. Rizespor  ,16.),90,13/14,0,27,90
23.03.14,Akhisar Belediye  ,7.),90,13/14,0,28,90
28.03.14,Karabükspor  ,8.),90,13/14,0,29,90
05.04.14,Kayserispor  ,18.),90,13/14,0,30,90
11.04.14,Konyaspor  ,13.),90,13/14,0,31,90
20.04.14,Fenerbahçe  ,1.),90,13/14,0,32,90
27.04.14,Sivasspor  ,5.),90,13/14,0,33,90
03.05.14,Kasımpaşa  ,6.),90,13/14,0,34,90
11.05.14,Elazığspor  ,16.),90,13/14,0,35,90
17.05.14,Gençlerbirliği  ,8.),90,13/14,0,36,90
30.07.14,Feyenoord,,90,14/15,0,1,90
06.08.14,Feyenoord,,90,14/15,0,2,90
19.08.14,Arsenal,,0,14/15,0,3,90
27.08.14,Arsenal,,90,14/15,0,4,90
30.08.14,Mersin İY  ,17.),90,14/15,0,5,90
15.09.14,Ç. Rizespor  ,7.),90,14/15,0,6,90
18.09.14,Asteras Tripoli,,90,14/15,0,7,90
22.09.14,Bursaspor  ,8.),90,14/15,0,8,90
27.09.14,Eskişehirspor  ,10.),90,14/15,1,9,90
02.10.14,Tottenham,,90,14/15,0,10,90
05.10.14,Balıkesirspor  ,15.),90,14/15,0,11,90
19.10.14,Sivasspor  ,11.),90,14/15,0,12,90
23.10.14,Partizan,,90,14/15,0,13,90
27.10.14,K. Erciyesspor  ,17.),90,14/15,1,14,90
02.11.14,Fenerbahçe  ,4.),90,14/15,0,15,90
06.11.14,Partizan,,90,14/15,0,16,90
09.11.14,Başakşehir  ,9.),90,14/15,0,17,90
23.11.14,Kasımpaşa  ,8.),90,14/15,0,18,90
27.11.14,Asteras Tripoli,,73,14/15,0,19,90
01.12.14,Karabükspor  ,17.),90,14/15,0,20,90
07.12.14,Trabzonspor  ,5.),90,14/15,0,21,90
11.12.14,Tottenham,,0,14/15,0,22,90
14.12.14,Gaziantepspor  ,12.),90,14/15,0,23,90
21.12.14,Akhisar Belediye  ,10.),90,14/15,0,24,90
28.12.14,Konyaspor  ,12.),83,14/15,0,25,90
04.01.15,Galatasaray  ,3.),0,14/15,0,26,90
26.01.15,Gençlerbirliği  ,8.),90,14/15,0,27,90
01.02.15,Mersin İY  ,8.),0,14/15,0,28,90
08.02.15,Ç. Rizespor  ,15.),23,14/15,0,29,90
15.02.15,Bursaspor  ,4.),90,14/15,0,30,90
19.02.15,Liverpool,,90,14/15,0,31,90
22.02.15,Eskişehirspor  ,14.),36,14/15,0,32,90
26.02.15,Liverpool,,120,14/15,0,33,100
01.03.15,Balıkesirspor  ,18.),90,14/15,0,34,90
08.03.15,Sivasspor  ,12.),90,14/15,0,35,90
12.03.15,Club Brugge,,0,14/15,0,36,90
15.03.15,K. Erciyesspor  ,16.),0,14/15,0,37,90
19.03.15,Club Brugge,,0,14/15,0,38,90
22.03.15,Fenerbahçe  ,3.),90,14/15,0,39,90
06.04.15,Başakşehir  ,4.),90,14/15,0,40,90
18.04.15,Kasımpaşa  ,13.),87,14/15,0,41,90
27.04.15,Karabükspor  ,16.),90,14/15,0,42,90
03.05.15,Trabzonspor  ,6.),90,14/15,0,43,90
10.05.15,Gaziantepspor  ,11.),90,14/15,0,44,90
14.05.15,Akhisar Belediye  ,14.),90,14/15,0,45,90
18.05.15,Konyaspor  ,8.),17,14/15,0,46,90
24.05.15,Galatasaray  ,1.),90,14/15,0,47,90
29.05.15,Gençlerbirliği  ,9.),0,14/15,0,48,90
16.08.15,Mersin İY  ,17.),90,15/16,0,1,90
22.08.15,Trabzonspor  ,6.),90,15/16,0,2,90
28.08.15,Gaziantepspor  ,10.),90,15/16,0,3,90
13.09.15,Başakşehir  ,12.),90,15/16,0,4,90
17.09.15,KF Skënderbeu,,90,15/16,0,5,90
21.09.15,Gençlerbirliği  ,16.),90,15/16,0,6,90
27.09.15,Fenerbahçe  ,1.),90,15/16,0,7,90
01.10.15,Sporting CP,,90,15/16,0,8,90
04.10.15,Eskişehirspor  ,17.),90,15/16,0,9,90
18.10.15,Ç. Rizespor  ,8.),90,15/16,0,10,90
22.10.15,L. Moscow,,90,15/16,0,11,90
26.10.15,Antalyaspor  ,6.),90,15/16,0,12,90
30.10.15,Kasımpaşa  ,7.),90,15/16,0,13,90
05.11.15,L. Moscow,,90,15/16,0,14,90
08.11.15,Bursaspor  ,8.),90,15/16,0,15,90
22.11.15,Sivasspor  ,16.),90,15/16,0,16,90
26.11.15,KF Skënderbeu,,90,15/16,0,17,90
29.11.15,Akhisar Belediye  ,5.),90,15/16,0,18,90
05.12.15,Kayserispor  ,14.),90,15/16,0,19,90
10.12.15,Sporting CP,,90,15/16,0,20,90
14.12.15,Galatasaray  ,4.),90,15/16,0,21,90
21.12.15,Osmanlıspor  ,12.),90,15/16,0,22,90
27.12.15,Konyaspor  ,7.),90,15/16,0,23,90
07.02.16,Gaziantepspor  ,8.),90,15/16,0,24,90
14.02.16,Başakşehir  ,4.),90,15/16,1,25,90
17.02.16,Mersin İY  ,17.),90,15/16,0,26,90
22.02.16,Gençlerbirliği  ,12.),90,15/16,0,27,90
29.02.16,Fenerbahçe  ,2.),90,15/16,0,28,90
07.03.16,Eskişehirspor  ,18.),90,15/16,1,29,90
12.03.16,Ç. Rizespor  ,12.),90,15/16,0,30,90
15.03.16,Trabzonspor  ,10.),90,15/16,0,31,90
19.03.16,Antalyaspor  ,11.),90,15/16,0,32,90
04.04.16,Kasımpaşa  ,8.),90,15/16,0,33,90
11.04.16,Bursaspor  ,9.),90,15/16,0,34,90
16.04.16,Sivasspor  ,16.),90,15/16,0,35,90
23.04.16,Akhisar Belediye  ,6.),90,15/16,0,36,90
30.04.16,Kayserispor  ,13.),90,15/16,0,37,90
