,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,61453,7,MissedShots,0.8730000305175781,0.5829999923706055,0.12163817882537842,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,1871,Marseille,Caen,0,1,2015-08-08 23:00:00,Abdel Barrada,Throughball
2,61458,25,BlockedShot,0.909000015258789,0.675,0.06413242965936661,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,1871,Marseille,Caen,0,1,2015-08-08 23:00:00,Florian Thauvin,Pass
3,61460,29,SavedShot,0.919000015258789,0.555,0.08026830852031708,Michy Batshuayi,h,1678,FromCorner,2015,Head,1871,Marseille,Caen,0,1,2015-08-08 23:00:00,Abdel Barrada,Cross
5,61462,38,BlockedShot,0.9230000305175782,0.48200000762939454,0.5214341878890991,Michy Batshuayi,h,1678,FromCorner,2015,RightFoot,1871,Marseille,Caen,0,1,2015-08-08 23:00:00,,None
11,61709,82,MissedShots,0.7559999847412109,0.39799999237060546,0.01823040470480919,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,1886,Reims,Marseille,1,0,2015-08-16 16:00:00,,TakeOn
4,61896,15,MissedShots,0.8969999694824219,0.5259999847412109,0.07120882719755173,Michy Batshuayi,h,1678,OpenPlay,2015,Head,1898,Marseille,Troyes,6,0,2015-08-23 23:00:00,Abdel Barrada,Cross
5,61897,18,ShotOnPost,0.9380000305175781,0.57,0.12572309374809265,Michy Batshuayi,h,1678,OpenPlay,2015,Head,1898,Marseille,Troyes,6,0,2015-08-23 23:00:00,Benjamin Mendy,Cross
12,61906,55,Goal,0.8919999694824219,0.6329999923706054,0.08920074254274368,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,1898,Marseille,Troyes,6,0,2015-08-23 23:00:00,Rémy Cabella,TakeOn
15,61916,89,Goal,0.9330000305175781,0.4640000152587891,0.5181863903999329,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,1898,Marseille,Troyes,6,0,2015-08-23 23:00:00,Romain Alessandrini,Cross
0,62675,24,SavedShot,0.8859999847412109,0.5620000076293945,0.02334333397448063,Michy Batshuayi,a,1678,SetPiece,2015,Head,1899,Guingamp,Marseille,2,0,2015-08-28 22:30:00,,None
3,62679,35,SavedShot,0.8330000305175781,0.6070000076293945,0.05952025204896927,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1899,Guingamp,Marseille,2,0,2015-08-28 22:30:00,Rémy Cabella,Pass
4,62681,44,BlockedShot,0.9269999694824219,0.6519999694824219,0.06741400063037872,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1899,Guingamp,Marseille,2,0,2015-08-28 22:30:00,,None
8,62697,62,BlockedShot,0.855,0.610999984741211,0.06687331199645996,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1899,Guingamp,Marseille,2,0,2015-08-28 22:30:00,Benjamin Mendy,TakeOn
10,62701,70,SavedShot,0.7380000305175781,0.600999984741211,0.05323631688952446,Michy Batshuayi,a,1678,DirectFreekick,2015,RightFoot,1899,Guingamp,Marseille,2,0,2015-08-28 22:30:00,,Standard
11,62703,74,SavedShot,0.865999984741211,0.3890000152587891,0.34599626064300537,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1899,Guingamp,Marseille,2,0,2015-08-28 22:30:00,Mario Lemina,TakeOn
0,62399,12,MissedShots,0.8869999694824219,0.3870000076293945,0.034450408071279526,Michy Batshuayi,h,1678,SetPiece,2015,Head,1918,Marseille,SC Bastia,4,1,2015-09-13 23:00:00,Lass Diarra,Chipped
4,62403,34,SavedShot,0.8530000305175781,0.49700000762939456,0.08049726486206055,Michy Batshuayi,h,1678,SetPiece,2015,RightFoot,1918,Marseille,SC Bastia,4,1,2015-09-13 23:00:00,Abdel Barrada,Pass
9,62417,69,Goal,0.9590000152587891,0.580999984741211,0.4613078236579895,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,1918,Marseille,SC Bastia,4,1,2015-09-13 23:00:00,Benjamin Mendy,Cross
3,62232,34,SavedShot,0.9119999694824219,0.655,0.0614297054708004,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,1928,Marseille,Lyon,1,1,2015-09-20 23:00:00,Lucas Silva,Pass
8,62240,50,MissedShots,0.755,0.5690000152587891,0.021261652931571007,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,1928,Marseille,Lyon,1,1,2015-09-20 23:00:00,Javier Manquillo,TakeOn
12,62247,79,MissedShots,0.895,0.5479999923706055,0.09049975126981735,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,1928,Marseille,Lyon,1,1,2015-09-20 23:00:00,Georges-Kévin Nkoudou,Cross
13,62249,85,MissedShots,0.8930000305175781,0.42900001525878906,0.05555898696184158,Michy Batshuayi,h,1678,OpenPlay,2015,Head,1928,Marseille,Lyon,1,1,2015-09-20 23:00:00,Javier Manquillo,Cross
7,63134,89,Goal,0.9,0.37200000762939456,0.31988009810447693,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,1936,Toulouse,Marseille,1,1,2015-09-23 23:00:00,Abdel Barrada,Pass
7,64514,47,SavedShot,0.889000015258789,0.55,0.05182664841413498,Michy Batshuayi,h,1678,OpenPlay,2015,Head,1944,Marseille,Angers,1,2,2015-09-27 16:00:00,Paolo De Ceglie,Cross
13,64522,59,MissedShots,0.774000015258789,0.590999984741211,0.08122517168521881,Michy Batshuayi,h,1678,DirectFreekick,2015,RightFoot,1944,Marseille,Angers,1,2,2015-09-27 16:00:00,,Standard
16,64533,78,Goal,0.885,0.5,0.7600951194763184,Michy Batshuayi,h,1678,Penalty,2015,RightFoot,1944,Marseille,Angers,1,2,2015-09-27 16:00:00,,Standard
2,63193,8,SavedShot,0.79,0.34599998474121096,0.027644988149404526,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1957,Paris Saint Germain,Marseille,2,1,2015-10-04 23:00:00,,None
4,63204,25,SavedShot,0.8719999694824219,0.7580000305175781,0.026234431192278862,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,1957,Paris Saint Germain,Marseille,2,1,2015-10-04 23:00:00,Abdel Barrada,Pass
5,63216,29,Goal,0.9330000305175781,0.46599998474121096,0.40974247455596924,Michy Batshuayi,a,1678,OpenPlay,2015,Head,1957,Paris Saint Germain,Marseille,2,1,2015-10-04 23:00:00,Abdel Barrada,Cross
7,63230,57,SavedShot,0.825,0.425,0.05625655874609947,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,1957,Paris Saint Germain,Marseille,2,1,2015-10-04 23:00:00,Rémy Cabella,Pass
8,63231,59,MissedShots,0.764000015258789,0.605999984741211,0.02462640590965748,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,1957,Paris Saint Germain,Marseille,2,1,2015-10-04 23:00:00,Lucas Silva,Pass
10,63244,78,MissedShots,0.9330000305175781,0.5279999923706055,0.12307453155517578,Michy Batshuayi,a,1678,FromCorner,2015,Head,1957,Paris Saint Germain,Marseille,2,1,2015-10-04 23:00:00,Romain Alessandrini,Cross
0,63380,7,SavedShot,0.8,0.6890000152587891,0.07405336946249008,Michy Batshuayi,h,1678,DirectFreekick,2015,RightFoot,1965,Marseille,Lorient,1,1,2015-10-18 16:00:00,,Standard
3,63383,20,Goal,0.885,0.5,0.7600951194763184,Michy Batshuayi,h,1678,Penalty,2015,RightFoot,1965,Marseille,Lorient,1,1,2015-10-18 16:00:00,,Standard
5,63385,23,BlockedShot,0.8440000152587891,0.42900001525878906,0.09955661743879318,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,1965,Marseille,Lorient,1,1,2015-10-18 16:00:00,Rémy Cabella,Pass
14,63403,65,MissedShots,0.8969999694824219,0.46799999237060547,0.05772559344768524,Michy Batshuayi,h,1678,FromCorner,2015,Head,1965,Marseille,Lorient,1,1,2015-10-18 16:00:00,Georges-Kévin Nkoudou,Cross
2,63681,32,BlockedShot,0.8959999847412109,0.6559999847412109,0.07200535386800766,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1975,Lille,Marseille,1,2,2015-10-25 20:00:00,Benjamin Mendy,Pass
3,63682,32,SavedShot,0.885,0.5420000076293945,0.08084188401699066,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,1975,Lille,Marseille,1,2,2015-10-25 20:00:00,Georges-Kévin Nkoudou,Cross
5,63687,36,Goal,0.9269999694824219,0.48900001525878906,0.5257241725921631,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,1975,Lille,Marseille,1,2,2015-10-25 20:00:00,,Rebound
3,64568,48,BlockedShot,0.9280000305175782,0.7090000152587891,0.022756099700927734,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1987,Nantes,Marseille,0,1,2015-11-02 00:00:00,Benjamin Mendy,Cross
6,64575,56,SavedShot,0.735999984741211,0.4520000076293945,0.032351236790418625,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,1987,Nantes,Marseille,0,1,2015-11-02 00:00:00,Nicolas N&#039;Koulou,TakeOn
