Player,Team,Assist,Goal
SERGEN YALÇIN,BEŞİKTAŞ,6,11
AHMET YILDIRIM,BEŞİKTAŞ,5,1
ZAGO,BEŞİKTAŞ,4,2
PASCAL NOUMA,BEŞİKTAŞ,4,4
TÜMER METiN,BEŞİKTAŞ,4,3
YASiN SÜLÜN,BEŞİKTAŞ,4,1
DANIEL PANCU,BEŞİKTAŞ,3,7
İBRAHiM ÜZÜLMEZ,BEŞİKTAŞ,3,1
İLHAN MANSIZ,BEŞİKTAŞ,3,7
KAAN DOBRA,BEŞİKTAŞ,3,4
TAMER TUNA,BEŞİKTAŞ,3,0
AHMET DURSUN,BEŞİKTAŞ,2,8
TOLGA DOĞANTEZ,BEŞİKTAŞ,2,0
RONALDO GUIARO,BEŞİKTAŞ,1,1
CORDOBA,BEŞİKTAŞ,1,0
ESER YAĞMUR,BEŞİKTAŞ,1,1
TAYFUR HAVUTÇU,BEŞİKTAŞ,1,4
ALi CANSUN BEGEÇARSLAN,BEŞİKTAŞ,0,2
GUINTI,BEŞİKTAŞ,0,1
NİYAZİ GÜNEY,BEŞİKTAŞ,0,1
SERDAR TOPRAKTEPE,BEŞİKTAŞ,0,1
