Date,bjk_goal,bjk_xG,opp_goal,opp_xG,bjk_possession,bjk_touches_att_pen,bjk_completed_pass,bjk_pass_accuracy,bjk_pass_attempt,bjk_long_ball,bjk_long_ball_acc,bjk_long_ball_attempt,bjk_foul,bjk_shot
13.08.21,3,2.05,0,0.19,0.51,33,427,0.86,497,32,0.71,45,23,19
21.08.21,0,0.38,0,0.92,0.6,14,408,0.81,504,37,0.56,66,10,7
28.08.21,1,2.6,0,1.24,0.38,34,226,0.78,290,16,0.46,35,12,18
11.09.21,3,1.81,0,0.27,0.68,23,574,0.89,645,39,0.71,55,14,16
18.09.21,3,1.95,2,1.54,0.58,23,410,0.84,488,19,0.43,44,14,18
21.09.21,3,1.03,3,1.53,0.63,28,506,0.85,595,29,0.56,52,14,12
24.09.21,1,0.67,2,1.92,0.53,17,379,0.79,480,18,0.4,45,8,12
02.10.21,2,1.03,1,1.4,0.53,23,353,0.8,441,24,0.51,47,15,10
15.10.21,2,1.76,3,2.5,0.55,24,401,0.83,483,26,0.58,45,10,18
25.10.21,2,1.73,1,1.28,0.59,28,372,0.83,448,13,0.37,35,17,10
30.10.21,0,1.08,1,1.71,0.65,27,454,0.84,540,22,0.45,49,13,17
06.11.21,1,1.9,2,1.69,0.54,38,438,0.83,528,28,0.41,68,10,17
20.11.21,0,0.86,2,1.56,0.63,24,546,0.88,620,21,0.55,38,9,16
27.11.21,0,1.16,4,2.43,0.69,27,527,0.84,627,23,0.5,46,9,12
03.12.21,1,1.78,1,1.52,0.55,21,424,0.83,511,26,0.5,52,16,14
12.12.21,4,2.13,2,0.99,0.73,36,609,0.9,677,11,0.65,17,14,21
19.12.21,2,0.84,2,1.76,0.59,16,392,0.82,478,30,0.6,50,12,14
23.12.21,2,0.75,1,2.12,0.54,14,300,0.7,429,22,0.38,58,11,10
27.12.21,0,1.1,1,0.75,0.54,26,364,0.82,444,18,0.46,39,14,12
09.01.22,2,3.67,2,1.52,0.48,43,249,0.72,346,25,0.43,58,17,22
14.01.22,1,0.97,0,0.85,0.58,27,429,0.81,530,39,0.57,68,9,16
18.01.22,1,1.65,0,0.72,0.54,20,402,0.81,496,22,0.46,48,13,11
22.01.22,1,3.2,1,1.31,0.63,35,550,0.88,625,32,0.6,53,12,19
06.02.22,0,2.88,0,0.32,0.58,29,470,0.84,560,23,0.51,45,18,17
14.02.22,1,1.09,1,1.68,0.48,23,278,0.72,386,16,0.26,62,13,12
19.02.22,1,4.02,0,0.96,0.54,40,357,0.8,446,32,0.46,70,16,18
26.02.22,3,2.39,2,2.23,0.54,29,355,0.81,438,21,0.37,57,16,17
07.03.22,2,2,2,0.78,0.56,28,507,0.88,576,22,0.54,41,10,16
14.03.22,1,0.6,2,1.33,0.56,29,401,0.81,495,7,0.24,29,16,10
19.03.22,1,2.11,1,0.7,0.59,27,417,0.81,515,24,0.45,53,9,22
03.04.22,1,2.12,1,0.78,0.48,28,284,0.73,389,25,0.42,60,18,15
09.04.22,4,1.51,1,0.45,0.34,23,228,0.74,308,15,0.31,48,23,11
17.04.22,0,0.77,0,1.07,0.69,23,517,0.83,623,18,0.46,39,15,14
25.04.22,0,1.8,3,1.09,0.62,36,376,0.82,459,27,0.6,45,10,15
01.05.22,3,2.83,2,1.99,0.5,39,252,0.73,345,23,0.46,50,20,17
08.05.22,1,2.09,1,0.8,0.41,22,181,0.69,262,16,0.34,47,22,9
15.05.22,2,1,0,1.44,0.37,7,211,0.75,283,25,0.4,63,10,8
22.05.22,1,1.24,1,1.51,0.54,33,331,0.79,419,23,0.5,46,19,21
