ID,Player,Tackles,Accurate passes %,Interceptions,Key passes,Acc. Long balls,Total passes,Expected Assist (xA)
1,Marcelino Nunez,1.08,83.02,0.54,3.23,4.31,57.13,1.2
2,Chiedozie Ogbene,1,62.96,0,2,0.5,13.5,0.3
3,Robbie Brady,2.99,72.97,2.24,2.99,4.11,55.27,0
4,Lewis Travis,2,82.54,1,0,1,31.5,0
5,Daniel Barlaser,2.4,69.81,1.8,4.2,4.8,31.8,1
6,Andreas Weimann,0,75,0.67,0.67,0.33,22.67,0.6
7,Alex Pritchard,1.45,75.93,0.73,3.63,1.81,39.19,0.8
8,Jean Michaël Seri,2.57,90.09,1.54,4.11,3.6,57.09,0
9,Matt Crooks,2.5,75,0,0.5,1.5,34,0.7
10,Ian Maatsen,1.67,74.59,0.33,3,2.33,61.67,0.5
11,Josh Brownhill,1.33,87.36,0,1.33,1.33,58,0.4
12,Josh Cullen,2.01,89.96,0.67,1,4.35,76.62,0.9
13,Sander Berge,1.5,84.85,0,1,1.5,33,0.2
14,Todd Cantwell,0.73,83.06,1.46,2.91,4.74,45.18,0.3
15,Przemyslaw Placheta,1.72,69.88,0.34,1.37,0.34,28.51,0.2
16,Ryan Wintle,1.33,84.47,0.67,2,7,53.67,0.3
17,Scott Malone,1.33,57.78,0.33,1.67,2.33,30,0.5
18,Matt Grimes,2,91.88,0.33,2,3.67,102.67,0.2
19,George Saville,5.19,82,2.6,0.87,3.46,43.27,0.1
20,Benjamin Whiteman,3,88.97,1.67,0.67,3,48.33,0
21,Callum O'Dowda,1.42,68.75,1.07,1.42,0,28.46,0.9
22,Juninho Bacuna,1.05,67.12,1.05,2.46,0.7,25.66,0.3
23,Max Power,0,80,0.33,2.33,4,50,1
24,Josh Laurent,3.12,82.69,1.38,0.69,1.38,36,0.1
25,Ryan Hedges,1.6,79.41,0.53,2.66,0.53,36.21,0.3
26,Lewis Baker,2,82.2,0.67,0.67,1,39.33,0.3
27,Olivier Ntcham,6.53,92.68,0,1.45,5.81,59.52,0.1
28,Samuel Field,3.33,80.65,0.67,1,2.33,41.33,0
29,Alex Scott,2.43,88.61,1.22,1.22,2.84,32.03,0.1
30,James Bree,3,64.55,0,2.33,0.67,36.67,1.2
31,Ismaila Sarr,0.38,81.82,0.77,0.77,0,21.15,0.4
32,James McClean,4.33,74.39,0.67,1,0.33,27.33,0.1
33,Stefan Johansen,3.08,81.43,2.31,1.54,2.69,53.85,0.5
34,John Swift,1,75,0,2,2,30,0.1
35,Ryan Giles,1,83.33,0.5,2.5,1,33,1
36,Darnell Furlong,1.01,77,0.5,1.01,0,50.28,0.6
37,Kenny McLean,0.67,75.76,0.33,1,4,55,0.1
38,Will Keane,0.33,85.25,0.33,1.34,0.33,20.41,0.2
39,Jamie Lindsay,3,85.29,3.6,0,1.2,20.4,0
40,Grady Diangana,0.82,88.24,0.82,4.09,0.82,27.82,0.5
41,John Fleck,1.11,76.39,0.56,0.56,1.67,40,0.2
42,Billy Mitchell,1.67,71.09,1.33,0.67,2.33,42.67,0.2
43,Josh Tymon,0.67,77.88,1,2.01,3.01,37.81,1.6
44,Josh Bowler,1.68,75,0,0.34,0.67,14.78,0.1
45,Iliman Ndiaye,0,84.21,1.24,1.24,0,35.38,0.1
46,John Buckley,2.51,88.04,2.51,0.5,5.53,46.26,0.1
47,Romaine Sawyers,1.85,86.67,0.46,1.85,3.23,34.62,0.1
48,Brad Potts,1.22,71.43,0.41,0.81,2.03,31.22,0.1
49,Lynden Gooch,2,59.46,1,0.67,2,24.67,0.2
50,Jacob Lungi Sørensen,2.86,85.19,1.43,0.48,2.86,51.43,0
51,Dominic Thompson,1.71,80.31,2.4,0.68,4.11,43.46,0
52,Mark Sykes,2.09,76.06,1.26,1.67,2.09,29.72,0.4
53,Joe Williams,4,79.17,1,0.67,3.33,48,0.5
54,Tom Naylor,0,81.82,2.33,0,2.33,40.33,0
55,Sonny Carey,1.43,79.78,1.07,1.43,1.07,31.79,0.8
56,Ovie Ejaria,1.81,76.74,3.02,1.21,0.6,25.97,0.1
57,Ben Osborn,6.75,68.75,2.25,2.25,6.75,36,0
58,Junior Hoilett,1.69,72.29,1.69,1.69,1.02,28.08,0.9
59,Amari'i Bell,2,58.97,0,1,1,26,0.5
60,Mahlon Romeo,2.85,81.82,1.07,0.36,1.07,31.3,0
61,Thomas Ince,2.33,80,0.33,1,1,25,0.3
62,Luke Freeman,0.45,82.69,1.36,2.26,0.45,23.52,0.5
63,Jack Cork,2.4,86.27,1.2,0.4,2.4,61.2,0.1
64,Jonathan Hogg,1.67,86.34,0.67,0.33,3,53.67,0
65,Ben Wiles,0.5,77.27,0.5,1,1,22,0.3
66,Gustavo Hamer,3.44,75.31,0.57,4.01,2.29,46.43,0.3
67,Jake Livermore,1.07,82.76,1.61,0.54,4.29,31.07,0.1
68,Edo Kayembe,1.33,81.82,0.67,0.33,1.33,33,0.2
69,Daniel Johnson,3.07,79.73,0,1.53,2.05,37.84,0.1
70,Isaiah Jones,0.5,71.08,1.5,0.5,0,41.5,0.1
71,Ozan Tufan,0.38,78.87,1.15,0.77,1.54,27.31,0.1
72,Marc Bola,1,86.42,2,1.5,3,81,0.2
73,Danny McNamara,1,75.34,0.5,0.5,4.5,36.5,0
74,Jonathan Howson,3.5,78.18,0.5,2.5,5,55,0.3
75,Joel Latibeaudiere,1.08,92,0.36,1.44,1.8,45,0.5
76,Will Smallbone,0.91,80,1.36,1.36,1.82,38.64,0
77,Jordan James,3,84.62,0.33,0.67,4,26,0.1
78,Allan Campbell,1.1,84.62,1.46,2.2,0.73,19.02,0.1
79,Tyrese Fornah,3,84.69,1.33,0.33,1.33,32.67,0
80,George Baldock,1,75.44,0,1.5,0.5,28.5,0.2
81,Oliver Norwood,2.28,76,2.85,1.71,1.71,56.96,0
82,Luke O'Nien,2.45,82.81,4.09,0.82,3.27,52.36,0
