Team,Player,Event,X,Y,X2,Y2
BJK,Aytug Batur Kömec,Accurate Pass,17,52,19,79
BJK,Aytug Batur Kömec,Accurate Pass,17,25,24,9
BJK,Aytug Batur Kömec,Accurate Pass,38,39,76,95
BJK,Aytug Batur Kömec,Accurate Pass,14,28,18,64
BJK,Aytug Batur Kömec,Accurate Pass,22,19,52,5
BJK,Aytug Batur Kömec,Accurate Pass,25,24,25,66
BJK,Aytug Batur Kömec,Interception,25,54,-,-
BJK,Aytug Batur Kömec,Accurate Pass,30,24,38,9
BJK,Aytug Batur Kömec,Accurate Pass,48,37,57,8
BJK,Aytug Batur Kömec,Accurate Pass,44,15,61,13
BJK,Aytug Batur Kömec,Accurate Pass,44,12,52,21
BJK,Aytug Batur Kömec,Accurate Pass,45,37,73,82
BJK,Aytug Batur Kömec,Accurate Pass,39,27,46,38
BJK,Aytug Batur Kömec,Accurate Pass,42,16,63,7
BJK,Aytug Batur Kömec,Accurate Pass,40,10,36,48
BJK,Aytug Batur Kömec,Accurate Pass,33,39,38,20
BJK,Aytug Batur Kömec,Clearance,43,7,-,-
BJK,Aytug Batur Kömec,Tackle,18,5,-,-
BJK,Aytug Batur Kömec,Accurate Pass,18,5,23,3
BJK,Aytug Batur Kömec,Accurate Pass,22,22,24,31
BJK,Aytug Batur Kömec,Accurate Pass,23,22,36,7
BJK,Aytug Batur Kömec,Tackle,40,4,-,-
BJK,Aytug Batur Kömec,Accurate Pass,23,23,24,64
BJK,Aytug Batur Kömec,Accurate Pass,15,30,17,70
BJK,Aytug Batur Kömec,Accurate Pass,29,22,63,5
BJK,Aytug Batur Kömec,Inaccurate Pass,52,19,83,26
BJK,Aytug Batur Kömec,Clearance,53,17,-,-
BJK,Aytug Batur Kömec,Accurate Pass,28,27,37,9
BJK,Aytug Batur Kömec,Accurate Pass,24,42,25,18
BJK,Aytug Batur Kömec,Accurate Pass,13,30,14,68
BJK,Aytug Batur Kömec,Accurate Pass,27,21,5,37
BJK,Aytug Batur Kömec,Clearance,13,4,-,-
BJK,Aytug Batur Kömec,Inaccurate Pass,26,7,59,4
BJK,Aytug Batur Kömec,Interception,23,59,-,-
BJK,Aytug Batur Kömec,Accurate Pass,37,20,6,39
BJK,Aytug Batur Kömec,Accurate Pass,39,22,46,20
BJK,Aytug Batur Kömec,Interception,26,24,-,-
BJK,Aytug Batur Kömec,Inaccurate Pass,13,15,33,11
BJK,Aytug Batur Kömec,Interception,40,15,-,-
BJK,Aytug Batur Kömec,Interception,26,24,-,-
BJK,Aytug Batur Kömec,Accurate Pass,15,25,17,68
BJK,Aytug Batur Kömec,Inaccurate Pass,24,18,58,13
BJK,Aytug Batur Kömec,Accurate Pass,11,40,24,11
BJK,Aytug Batur Kömec,Accurate Pass,35,15,46,15
BJK,Aytug Batur Kömec,Accurate Pass,23,7,32,10
BJK,Aytug Batur Kömec,Clearance,32,21,-,-
BJK,Aytug Batur Kömec,Accurate Pass,21,19,31,7
BJK,Aytug Batur Kömec,Accurate Pass,21,15,20,30
BJK,Aytug Batur Kömec,Accurate Pass,39,11,88,5
BJK,Aytug Batur Kömec,Interception,33,49,-,-
BJK,Aytug Batur Kömec,Accurate Pass,41,60,30,60
BJK,Aytug Batur Kömec,Tackle,38,26,-,-
BJK,Aytug Batur Kömec,Accurate Pass,13,6,6,39
BJK,Aytug Batur Kömec,Accurate Pass,35,16,62,13
BJK,Aytug Batur Kömec,Accurate Pass,37,18,58,17
BJK,Aytug Batur Kömec,Tackle,28,17,-,-
BJK,Aytug Batur Kömec,Accurate Pass,26,23,27,70
BJK,Aytug Batur Kömec,Clearance,24,69,-,-
BJK,Aytug Batur Kömec,Accurate Pass,45,19,42,37
BJK,Aytug Batur Kömec,Accurate Pass,11,83,27,95
BJK,Aytug Batur Kömec,Accurate Pass,27,28,51,27
BJK,Aytug Batur Kömec,Clearance,27,48,-,-
BJK,Aytug Batur Kömec,Accurate Pass,30,25,35,68
BJK,Aytug Batur Kömec,Clearance,48,43,-,-
BJK,Aytug Batur Kömec,Accurate Pass,26,25,50,9
BJK,Aytug Batur Kömec,Accurate Pass,8,13,3,41
BJK,Aytug Batur Kömec,Accurate Pass,13,26,36,6
BJK,Aytug Batur Kömec,Accurate Pass,41,29,73,94
BJK,Aytug Batur Kömec,Accurate Pass,27,27,28,64
BJK,Aytug Batur Kömec,Accurate Pass,11,28,27,13
BJK,Aytug Batur Kömec,Clearance,32,33,-,-
BJK,Aytug Batur Kömec,Accurate Pass,33,21,56,21
BJK,Aytug Batur Kömec,Clearance,19,25,-,-
BJK,Aytug Batur Kömec,Inaccurate Pass,37,28,88,66
