,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
8,56372,38,SavedShot,0.905,0.295,0.01894107274711132,Roberto Firmino,a,482,FromCorner,2015,RightFoot,110,Arsenal,Liverpool,0,0,2015-08-24 23:00:00,,Aerial
9,56373,39,MissedShots,0.8580000305175781,0.34599998474121096,0.04458365961909294,Roberto Firmino,a,482,FromCorner,2015,LeftFoot,110,Arsenal,Liverpool,0,0,2015-08-24 23:00:00,James Milner,Pass
1,57542,8,ShotOnPost,0.725,0.5170000076293946,0.01769108884036541,Roberto Firmino,h,482,OpenPlay,2015,LeftFoot,116,Liverpool,West Ham,0,3,2015-08-29 18:00:00,Dejan Lovren,Pass
5,57551,50,BlockedShot,0.7719999694824219,0.32299999237060545,0.01968930847942829,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,116,Liverpool,West Ham,0,3,2015-08-29 18:00:00,Joseph Gomez,Pass
15,58150,72,SavedShot,0.9009999847412109,0.715,0.044183943420648575,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,140,Liverpool,Norwich,1,1,2015-09-20 19:00:00,Danny Ings,Pass
0,59417,1,MissedShots,0.8159999847412109,0.35700000762939454,0.041284602135419846,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,181,Chelsea,Liverpool,1,3,2015-10-31 16:45:00,Lucas Leiva,Pass
9,59427,55,MissedShots,0.695,0.41,0.01169582363218069,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,181,Chelsea,Liverpool,1,3,2015-10-31 16:45:00,Philippe Coutinho,BallRecovery
17,55049,73,BlockedShot,0.865,0.6070000076293945,0.08646870404481888,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,200,Liverpool,Crystal Palace,1,2,2015-11-08 20:00:00,Philippe Coutinho,Pass
3,54050,31,Goal,0.9569999694824218,0.5720000076293945,0.590714156627655,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,208,Manchester City,Liverpool,1,4,2015-11-21 21:30:00,Philippe Coutinho,Pass
4,54051,34,SavedShot,0.9069999694824219,0.34,0.401464581489563,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,208,Manchester City,Liverpool,1,4,2015-11-21 21:30:00,Philippe Coutinho,Throughball
5,54052,35,MissedShots,0.8980000305175782,0.6179999923706054,0.1135656088590622,Roberto Firmino,a,482,OpenPlay,2015,LeftFoot,208,Manchester City,Liverpool,1,4,2015-11-21 21:30:00,Philippe Coutinho,Chipped
8,54059,59,SavedShot,0.88,0.46,0.3749561011791229,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,208,Manchester City,Liverpool,1,4,2015-11-21 21:30:00,Emre Can,Pass
10,54063,70,SavedShot,0.9259999847412109,0.5070000076293946,0.08096257597208023,Roberto Firmino,a,482,FromCorner,2015,RightFoot,208,Manchester City,Liverpool,1,4,2015-11-21 21:30:00,,Aerial
6,56182,56,BlockedShot,0.86,0.5320000076293945,0.016347119584679604,Roberto Firmino,h,482,FromCorner,2015,Head,219,Liverpool,Swansea,1,0,2015-11-29 20:15:00,Alberto Moreno,Cross
7,56183,60,BlockedShot,0.8690000152587891,0.375,0.08019635826349258,Roberto Firmino,h,482,OpenPlay,2015,LeftFoot,219,Liverpool,Swansea,1,0,2015-11-29 20:15:00,Nathaniel Clyne,Pass
4,54524,45,MissedShots,0.8580000305175781,0.764000015258789,0.024165740236639977,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,229,Newcastle United,Liverpool,2,0,2015-12-06 20:00:00,James Milner,Pass
16,54456,32,BlockedShot,0.85,0.61,0.06270795315504074,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,257,Liverpool,Leicester,1,0,2015-12-26 19:00:00,Philippe Coutinho,Chipped
24,54467,86,MissedShots,0.8669999694824219,0.71,0.05313437804579735,Roberto Firmino,h,482,OpenPlay,2015,LeftFoot,257,Liverpool,Leicester,1,0,2015-12-26 19:00:00,,None
4,53833,24,SavedShot,0.755,0.41700000762939454,0.025055106729269028,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,270,Sunderland,Liverpool,0,1,2015-12-30 23:45:00,Dejan Lovren,Pass
6,53836,35,SavedShot,0.9269999694824219,0.4540000152587891,0.12494243681430817,Roberto Firmino,a,482,OpenPlay,2015,Head,270,Sunderland,Liverpool,0,1,2015-12-30 23:45:00,Nathaniel Clyne,Cross
2,52855,29,BlockedShot,0.7390000152587891,0.5590000152587891,0.01730390265583992,Roberto Firmino,a,482,OpenPlay,2015,LeftFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Christian Benteke,HeadPass
5,52858,33,SavedShot,0.955999984741211,0.5029999923706054,0.6835654377937317,Roberto Firmino,a,482,FromCorner,2015,RightFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Emre Can,Rebound
6,52859,36,MissedShots,0.775,0.47,0.03331208601593971,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,271,West Ham,Liverpool,2,0,2016-01-02 16:45:00,Christian Benteke,Pass
2,53890,9,Goal,0.879000015258789,0.43599998474121093,0.08126135170459747,Roberto Firmino,h,482,FromCorner,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,Rebound
3,53892,18,Goal,0.7669999694824219,0.545,0.02711436338722706,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,James Milner,Pass
6,53901,46,ShotOnPost,0.86,0.44599998474121094,0.0728159174323082,Roberto Firmino,h,482,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,None
11,53913,67,BlockedShot,0.92,0.47,0.05416111648082733,Roberto Firmino,h,482,OpenPlay,2015,Head,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Alberto Moreno,TakeOn
13,53915,68,MissedShots,0.875999984741211,0.5529999923706055,0.037539754062891006,Roberto Firmino,h,482,FromCorner,2015,Head,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Alberto Moreno,Cross
1,56081,9,MissedShots,0.769000015258789,0.4640000152587891,0.026821110397577286,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Adam Lallana,Pass
11,56094,59,MissedShots,0.75,0.35400001525878905,0.010847121477127075,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,,Aerial
0,54891,15,MissedShots,0.845,0.500999984741211,0.06809985637664795,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,301,Norwich,Liverpool,4,5,2016-01-23 16:45:00,Alberto Moreno,Chipped
1,54892,17,Goal,0.919000015258789,0.664000015258789,0.12063930183649063,Roberto Firmino,a,482,OpenPlay,2015,LeftFoot,301,Norwich,Liverpool,4,5,2016-01-23 16:45:00,James Milner,Throughball
6,54901,62,Goal,0.909000015258789,0.48700000762939455,0.4458860158920288,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,301,Norwich,Liverpool,4,5,2016-01-23 16:45:00,Adam Lallana,Pass
9,54905,84,SavedShot,0.8380000305175781,0.705,0.053423162549734116,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,301,Norwich,Liverpool,4,5,2016-01-23 16:45:00,Christian Benteke,TakeOn
9,53460,57,MissedShots,0.8169999694824219,0.4229999923706055,0.05930115282535553,Roberto Firmino,a,482,OpenPlay,2015,LeftFoot,312,Leicester,Liverpool,2,0,2016-02-02 23:45:00,Jordan Henderson,Pass
12,53466,76,BlockedShot,0.7090000152587891,0.355,0.010528394021093845,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,312,Leicester,Liverpool,2,0,2016-02-02 23:45:00,Joe Allen,Pass
2,52416,29,MissedShots,0.8140000152587891,0.7559999847412109,0.02264309674501419,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,327,Liverpool,Sunderland,2,2,2016-02-06 19:00:00,Alberto Moreno,Pass
3,52417,37,BlockedShot,0.865999984741211,0.3529999923706055,0.06687624752521515,Roberto Firmino,h,482,OpenPlay,2015,LeftFoot,327,Liverpool,Sunderland,2,2,2016-02-06 19:00:00,Adam Lallana,Pass
4,52418,43,MissedShots,0.7519999694824219,0.4370000076293945,0.024786723777651787,Roberto Firmino,h,482,OpenPlay,2015,LeftFoot,327,Liverpool,Sunderland,2,2,2016-02-06 19:00:00,Emre Can,HeadPass
7,52422,53,MissedShots,0.7380000305175781,0.4279999923706055,0.01874934323132038,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,327,Liverpool,Sunderland,2,2,2016-02-06 19:00:00,Kolo Touré,TakeOn
8,52424,58,Goal,0.9640000152587891,0.4279999923706055,0.36813488602638245,Roberto Firmino,h,482,OpenPlay,2015,Head,327,Liverpool,Sunderland,2,2,2016-02-06 19:00:00,James Milner,Cross
1,61167,21,SavedShot,0.7969999694824219,0.6140000152587891,0.03407515212893486,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,357,Liverpool,Manchester City,3,0,2016-03-03 00:00:00,Adam Lallana,Pass
5,61180,56,Goal,0.8669999694824219,0.5640000152587891,0.4760206937789917,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,357,Liverpool,Manchester City,3,0,2016-03-03 00:00:00,Adam Lallana,Throughball
4,59727,42,BlockedShot,0.909000015258789,0.6859999847412109,0.05870337039232254,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,367,Crystal Palace,Liverpool,1,2,2016-03-06 17:30:00,Divock Origi,Pass
7,59737,55,BlockedShot,0.7269999694824218,0.48700000762939455,0.01353217102587223,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,367,Crystal Palace,Liverpool,1,2,2016-03-06 17:30:00,James Milner,BallRecovery
8,59740,60,BlockedShot,0.8019999694824219,0.3129999923706055,0.016172342002391815,Roberto Firmino,a,482,OpenPlay,2015,LeftFoot,367,Crystal Palace,Liverpool,1,2,2016-03-06 17:30:00,Adam Lallana,Chipped
9,59743,64,SavedShot,0.7319999694824219,0.48400001525878905,0.017819121479988098,Roberto Firmino,a,482,OpenPlay,2015,LeftFoot,367,Crystal Palace,Liverpool,1,2,2016-03-06 17:30:00,Philippe Coutinho,Pass
11,59752,71,Goal,0.8690000152587891,0.585,0.3567841351032257,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,367,Crystal Palace,Liverpool,1,2,2016-03-06 17:30:00,,None
7,60640,56,SavedShot,0.9430000305175781,0.2620000076293945,0.060951631516218185,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,403,Liverpool,Stoke,4,1,2016-04-10 19:00:00,Nathaniel Clyne,Pass
2,61302,7,MissedShots,0.7240000152587891,0.43400001525878906,0.013137114234268665,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,412,Bournemouth,Liverpool,1,2,2016-04-17 16:30:00,,None
8,61321,40,Goal,0.9519999694824218,0.49,0.6551873087882996,Roberto Firmino,a,482,OpenPlay,2015,LeftFoot,412,Bournemouth,Liverpool,1,2,2016-04-17 16:30:00,,Rebound
11,61329,46,MissedShots,0.8930000305175781,0.485,0.09608831256628036,Roberto Firmino,a,482,FromCorner,2015,LeftFoot,412,Bournemouth,Liverpool,1,2,2016-04-17 16:30:00,,None
14,61335,58,SavedShot,0.855,0.6880000305175781,0.04437531530857086,Roberto Firmino,a,482,OpenPlay,2015,RightFoot,412,Bournemouth,Liverpool,1,2,2016-04-17 16:30:00,,None
