Player,Team,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7
Umut Bozok,Kasimpasa,4,11,3,2,0,0,0
Ayoub El Kaabi,Hatayspor,8,5,2,3,0,0,0
Mario Balotelli,Adana Demirspor,4,6,4,2,0,1,1
Joel Pohjanpalo,Rizespor,8,5,2,0,0,1,0
Andreas Cornelius,Trabzonspor,9,5,1,0,0,0,0
Serdar Dursun,Fenerbahce,5,6,2,2,0,0,0
Aleksandar Pesic,F. Karagumruk,8,4,2,0,0,0,0
Haji Wright,Antalyaspor,7,3,4,0,0,0,0
Michy Batshuayi,Besiktas,7,2,4,1,0,0,0
Alexandru Maxim,Gaziantepspor,7,5,1,1,0,0,0
Nwakaeme,Trabzonspor,6,6,1,0,0,0,0
Jackson Muleka,Kasimpasa,5,5,2,0,0,0,0
Mame Diouf,Hatayspor,8,2,2,0,0,0,0
Stefano Okaka,Basaksehir,5,3,3,0,0,0,0
Famara Diedhiou,Alanyaspor,7,1,1,0,2,0,0
Mame Thiam,Kayserispor,5,4,2,0,0,0,0
Emre Akbaba,Alanyaspor,4,2,3,1,0,0,0
Kerem Aktürkoglu,Galatasaray,4,6,0,0,0,0,0
Mario Gavranovic,Kayserispor,7,3,0,0,0,0,0
Mustapha Yatabare,Sivasspor,4,3,2,1,0,0,0
Sokol Cikalleshi,Konyaspor,4,4,1,1,0,0,0
Britt Assombalonga,Adana Demirspor,5,1,3,1,0,0,0
Cherif Ndiaye,Goztepe,5,3,1,1,0,0,0
Jorge Djaniny,Trabzonspor,4,3,2,0,1,0,0
Miha Zajc,Fenerbahce,7,1,1,0,0,0,0
Zymer Bytqi,Konyaspor,6,0,1,0,0,0,0
Ahmed Hassan,Konyaspor,4,2,2,0,0,0,0
Bakasetas,Trabzonspor,6,2,0,0,0,0,0
Mesut Özil,Fenerbahce,5,3,0,0,0,0,0
Bafetimbi Gomis,Galatasaray,4,2,2,1,0,0,0
Pedro Henrique,Sivasspor,6,1,1,0,0,0,0
Abdülkadir Ömür,Trabzonspor,4,2,0,1,0,0,0
Benjamin Tetteh,Y. Malatyaspor,5,2,0,0,0,0,0
Cyle Larin,Besiktas,5,1,1,0,0,0,0
Mostafa Mohamed,Galatasaray,6,1,0,0,0,0,0
Umut Nayir,Giresunspor,6,1,0,0,0,0,0
Enner Valencia,Fenerbahce,2,2,0,1,2,0,0
Karamoko Bamba,Altay,3,4,0,0,0,0,0
