,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,51674,7,MissedShots,0.865,0.46,0.07714270055294037,Charlie Adam,h,873,OpenPlay,2015,LeftFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,,None
1,51675,17,SavedShot,0.7519999694824219,0.6229999923706054,0.016048166900873184,Mame Biram Diouf,h,868,OpenPlay,2015,LeftFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,Jonathan Walters,HeadPass
2,51679,35,BlockedShot,0.8919999694824219,0.6430000305175781,0.06500013917684555,Ibrahim Afellay,h,864,OpenPlay,2015,LeftFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,,None
3,51680,35,MissedShots,0.889000015258789,0.5279999923706055,0.11027023196220398,Glen Johnson,h,944,OpenPlay,2015,LeftFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,,Rebound
4,51681,44,MissedShots,0.7609999847412109,0.5790000152587891,0.02054484933614731,Charlie Adam,h,873,OpenPlay,2015,LeftFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,Mame Biram Diouf,Pass
5,51682,45,MissedShots,0.7619999694824219,0.20700000762939452,0.010778586380183697,Marco van Ginkel,h,946,OpenPlay,2015,LeftFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,Jonathan Walters,Pass
6,51687,79,BlockedShot,0.86,0.41900001525878905,0.08865728229284286,Marco van Ginkel,h,946,OpenPlay,2015,LeftFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,Jonathan Walters,Pass
0,51676,18,BlockedShot,0.765,0.6170000076293946,0.020306408405303955,Adam Lallana,a,486,OpenPlay,2015,RightFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,,None
1,51677,20,BlockedShot,0.7519999694824219,0.59,0.02052902802824974,Philippe Coutinho,a,488,OpenPlay,2015,RightFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,,BallRecovery
2,51678,30,BlockedShot,0.865999984741211,0.24899999618530275,0.02810472436249256,Jordon Ibe,a,481,OpenPlay,2015,RightFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,Nathaniel Clyne,Pass
3,51683,62,SavedShot,0.9069999694824219,0.74,0.031959500163793564,Dejan Lovren,a,602,SetPiece,2015,LeftFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,Martin Skrtel,Pass
4,51684,66,BlockedShot,0.899000015258789,0.575,0.11668871343135834,Christian Benteke,a,606,OpenPlay,2015,RightFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,Philippe Coutinho,Pass
5,51685,67,SavedShot,0.9130000305175782,0.4909999847412109,0.08771864324808121,Martin Skrtel,a,607,FromCorner,2015,Head,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,James Milner,Cross
6,51686,76,MissedShots,0.7019999694824218,0.4759999847412109,0.010916794650256634,Philippe Coutinho,a,488,OpenPlay,2015,RightFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,,None
7,51688,85,Goal,0.7269999694824218,0.5359999847412109,0.013649340718984604,Philippe Coutinho,a,488,OpenPlay,2015,RightFoot,89,Stoke,Liverpool,0,1,2015-08-09 19:00:00,Joseph Gomez,TakeOn
0,51764,3,MissedShots,0.7709999847412109,0.625999984741211,0.01691202074289322,Jordon Ibe,h,481,FromCorner,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Martin Skrtel,LayOff
1,51766,23,MissedShots,0.754000015258789,0.6140000152587891,0.019624294713139534,Christian Benteke,h,606,OpenPlay,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,,BallRecovery
2,51767,25,Goal,0.9569999694824218,0.4759999847412109,0.5297861695289612,Christian Benteke,h,606,FromCorner,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Jordan Henderson,Cross
3,51768,28,ShotOnPost,0.7930000305175782,0.3820000076293945,0.026856832206249237,Jordan Henderson,h,605,SetPiece,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,James Milner,Pass
4,51769,30,BlockedShot,0.7809999847412109,0.45099998474121095,0.046132441610097885,Philippe Coutinho,h,488,OpenPlay,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Christian Benteke,Pass
5,51770,43,MissedShots,0.7969999694824219,0.30100000381469727,0.0177763644605875,Philippe Coutinho,h,488,OpenPlay,2015,LeftFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Christian Benteke,HeadPass
6,51771,43,MissedShots,0.845,0.47,0.35637733340263367,Philippe Coutinho,h,488,OpenPlay,2015,LeftFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,,None
7,51775,50,MissedShots,0.825999984741211,0.7169999694824218,0.048670317977666855,Jordon Ibe,h,481,OpenPlay,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Adam Lallana,TakeOn
8,51776,50,BlockedShot,0.7709999847412109,0.37599998474121094,0.03337095305323601,Philippe Coutinho,h,488,OpenPlay,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,,Dispossessed
9,51777,54,MissedShots,0.9269999694824219,0.585,0.13849252462387085,James Milner,h,489,OpenPlay,2015,LeftFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Jordon Ibe,Pass
10,51782,67,BlockedShot,0.805,0.24399999618530274,0.05305565521121025,Philippe Coutinho,h,488,DirectFreekick,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,,Standard
11,51783,69,MissedShots,0.8669999694824219,0.26799999237060546,0.04357287660241127,Philippe Coutinho,h,488,OpenPlay,2015,LeftFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Christian Benteke,Pass
12,51784,71,BlockedShot,0.8780000305175781,0.5209999847412109,0.11290974915027618,Philippe Coutinho,h,488,OpenPlay,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,,None
13,51785,73,BlockedShot,0.8490000152587891,0.43400001525878906,0.12811991572380066,Philippe Coutinho,h,488,OpenPlay,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Christian Benteke,Pass
14,51791,87,MissedShots,0.7869999694824219,0.295,0.026128865778446198,Nathaniel Clyne,h,603,OpenPlay,2015,LeftFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,,None
15,51792,89,SavedShot,0.9330000305175781,0.48700000762939455,0.4758010804653168,Christian Benteke,h,606,OpenPlay,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Nathaniel Clyne,Cross
16,51793,89,MissedShots,0.865,0.45099998474121095,0.09445803612470627,Adam Lallana,h,486,OpenPlay,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,,Rebound
17,51794,91,MissedShots,0.7859999847412109,0.5820000076293945,0.027517924085259438,James Milner,h,489,SetPiece,2015,RightFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Emre Can,Pass
0,51765,11,MissedShots,0.9219999694824219,0.610999984741211,0.028754938393831253,Joshua King,a,465,FromCorner,2015,Head,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Max Gradel,Cross
1,51772,46,SavedShot,0.7369999694824219,0.549000015258789,0.019499795511364937,Matt Ritchie,a,461,OpenPlay,2015,LeftFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Eunan O&#039;Kane,Pass
2,51773,48,MissedShots,0.830999984741211,0.3129999923706055,0.03587422892451286,Matt Ritchie,a,461,OpenPlay,2015,LeftFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Callum Wilson,Pass
3,51774,49,BlockedShot,0.7980000305175782,0.34,0.02344721555709839,Callum Wilson,a,468,OpenPlay,2015,LeftFoot,100,Liverpool,Bournemouth,1,0,2015-08-17 23:00:00,Matt Ritchie,Chipped
