,,,,,,
Player,Min,Team,Squad Total,In Squad,Rank,Share
Arthur Masuaku,2246,Besiktas,2610,1,1,0.86
Gedson Fernandes,2215,Besiktas,2610,1,2,0.85
Salih Uçan,1864,Besiktas,2610,1,3,0.71
Valentin Rosier,1744,Besiktas,2610,1,4,0.67
Romain Saïss,1654,Besiktas,2610,1,5,0.63
Mert Günok,1620,Besiktas,2610,1,6,0.62
Tayyib Talha Sanuç,1527,Besiktas,2610,1,7,0.59
Cenk Tosun,1511,Besiktas,2610,1,8,0.58
Wout Weghorst,1422,Besiktas,2610,0,9,0.54
Nathan Redmond,1309,Besiktas,2610,1,10,0.50
Georges-Kévin N'Koudou,1100,Besiktas,2610,1,11,0.42
Jackson Muleka,1028,Besiktas,2610,1,12,0.39
Vincent Aboubakar,869,Besiktas,2610,1,13,0.33
Tayfur Bingöl,869,Besiktas,2610,1,14,0.33
Josef de Souza,819,Besiktas,2610,0,15,0.31
Ersin Destanoğlu,810,Besiktas,2610,1,16,0.31
Necip Uysal,740,Besiktas,2610,1,17,0.28
Dele Alli,707,Besiktas,2610,1,18,0.27
Welinton,679,Besiktas,2610,1,19,0.26
Omar Colley,630,Besiktas,2610,1,20,0.24
Amir Hadžiahmetović,551,Besiktas,2610,1,21,0.21
Onur Bulut,540,Besiktas,2610,1,22,0.21
Rachid Ghezzal,492,Besiktas,2610,1,23,0.19
Umut Meraş,338,Besiktas,2610,1,24,0.13
Berkay Vardar,241,Besiktas,2610,1,25,0.09
Francisco Montero,225,Besiktas,2610,0,26,0.09
Alexandru Maxim,202,Besiktas,2610,1,27,0.08
Emre Bilgin,180,Besiktas,2610,1,28,0.07
Kartal Yılmaz,122,Besiktas,2610,0,29,0.05
Emrecan Uzunhan,115,Besiktas,2610,0,30,0.04
Atiba Hutchinson,81,Besiktas,2610,1,31,0.03
Tyler Boyd,45,Besiktas,2610,0,32,0.02
Semih Kılıçsoy,41,Besiktas,2610,1,33,0.02
Kerem Atakan Kesgin,40,Besiktas,2610,1,34,0.02
Kenan Karaman,38,Besiktas,2610,0,35,0.01
Attila Szalai,2520,Fenerbahce,2610,1,1,0.97
Ferdi Kadioglu,2399,Fenerbahce,2610,1,2,0.92
Altay Bayındır,2340,Fenerbahce,2610,1,3,0.90
Willian Arão,1982,Fenerbahce,2610,1,4,0.76
Enner Valencia,1959,Fenerbahce,2610,1,5,0.75
İrfan Kahveci,1374,Fenerbahce,2610,1,6,0.53
Lincoln,1302,Fenerbahce,2610,1,7,0.50
Diego Rossi,1256,Fenerbahce,2610,1,8,0.48
Crespo,1123,Fenerbahce,2610,1,9,0.43
Emre Mor,1091,Fenerbahce,2610,1,10,0.42
Samet Akaydın,1064,Fenerbahce,2610,1,11,0.41
Bright Osayi-Samuel,1048,Fenerbahce,2610,1,12,0.40
Gustavo Henrique,1036,Fenerbahce,2610,1,13,0.40
Miha Zajc,976,Fenerbahce,2610,1,14,0.37
Michy Batshuayi,913,Fenerbahce,2610,1,15,0.35
Serdar Aziz,878,Fenerbahce,2610,1,16,0.34
João Pedro,841,Fenerbahce,2610,1,17,0.32
Ezgjan Alioski,836,Fenerbahce,2610,1,18,0.32
Joshua King,767,Fenerbahce,2610,1,19,0.29
İsmail Yüksek,591,Fenerbahce,2610,1,20,0.23
Arda Güler,531,Fenerbahce,2610,1,21,0.20
