Rk,Player,90s,% Shots on Target,Shots on Target ,Expected Goals,Non-Penalty xG,Non-Penalty xG/Shot,Shot-Creating Actions,Shot-Creating Actions Live Ball,Key Pass,Pass into Pen.Area,Progressive Pass,Total Carrying Dist.,Progressice Carrying Dist.,Progressive Carries,Carries into Final 3rd,Carries into Pen.Area
1,Vincent Aboubakar,3.8,54.5,1.59,0.34,0.34,0.12,0.53,0.53,0.79,0.26,1.58,96.8,35.3,1.58,0.53,0.79
10,Hassane Bandé,3.4,33.3,0.59,0.09,0.09,0.05,1.47,1.18,1.18,0.88,3.53,185.6,93.5,2.94,2.35,1.18
11,Tigran Barseghyan,4.8,7.1,0.21,0.19,0.19,0.07,5.42,2.92,1.88,2.29,4.58,223.3,113.3,2.5,2.08,0.83
13,Michy Batshuayi,4.2,37.5,1.42,0.48,0.48,0.13,1.18,0.48,0.71,0.48,1.43,71.9,22.4,0.71,0.48,0.48
14,Albin Berisha,4.4,50,0.9,0.2,0.2,0.11,1.13,0.91,0.23,0.23,0.68,83.6,35.5,1.82,1.14,0.68
16,Nemanja Bilbija,5.8,60,0.51,0.16,0.16,0.17,1.03,0.86,0.34,0,1.55,47.2,11,0.17,0.34,0
17,Dan Bitton,4.9,41.7,1.02,0.1,0.1,0.04,4.29,3.47,2.65,1.84,5.51,231.4,124.7,4.08,4.08,1.02
21,Myron van Brederode,3.1,100,0.32,0.06,0.06,0.2,2.23,2.26,0.32,2.58,6.13,226.8,141.3,3.87,3.23,1.94
23,Admir Bristrić,3.5,16.7,0.29,0.14,0.14,0.09,2.31,1.71,1.14,0.29,0.29,108.6,44.3,2.29,0.86,2
25,Rémy Cabella,4.2,44.4,0.95,0.48,0.48,0.26,6.92,4.05,2.86,1.9,8.1,361.9,183.3,6.67,4.29,1.67
27,Aleksandar Čavrić,5.2,46.2,1.15,0.54,0.38,0.16,2.5,1.54,1.35,0.77,2.69,127.3,56.5,2.12,0.58,1.73
28,Žan Celar,4.6,23.1,0.65,0.2,0.2,0.07,2.17,1.52,1.09,0.22,1.09,55,25.9,1.09,0.87,0.65
29,Fares Chaïbi,4,50,1.77,0.2,0.2,0.06,6.83,3.5,4,1,4.5,189.3,121.8,4.25,2.5,1.75
31,Tomáš Chorý,3.3,40,0.61,0.79,0.33,0.22,0.3,0.3,0.3,0,1.52,52.1,17,0.61,0,0.61
32,Yanis Cimignani,3.3,16.7,0.3,0.09,0.09,0.05,5.44,3.94,2.12,2.73,4.24,247.9,133.9,3.33,3.64,1.52
33,Mihajlo Cvetković,3.2,33.3,0.31,0.09,0.09,0.09,0.94,0.94,1.25,0.63,0.94,70.9,19.1,0.63,0.63,0.63
34,Dembo Darboe,4.9,40,0.4,0.27,0.1,0.1,1.41,0.61,0.61,0,0.41,100,43.1,1.63,1.22,1.22
37,Kiril Despodov,3.3,57.1,1.22,0.45,0.45,0.22,5.19,1.52,3.64,1.21,1.21,110.9,40.3,1.52,0.61,0.61
40,Kwadwo Duah,3,44.4,1.33,0.23,0.23,0.08,0.67,0.33,0,0,2.33,68.7,21,1.33,0.67,0.67
