Match,opp_half,opp_box,td,Result,shots_box
BJK-KYS,202,45,0,W,12
ALN-BJK,60,19,0,D,4
BJK-KRG,169,32,0,W,14
BJK-SVS,191,31,0,W,13
AG-BJK,107,26,0,W,10
BJK-BSK,158,38,0,L,15
IST-BJK,149,14,0,D,6
BJK-FB,108,12,0,D,9
GRS-BJK,125,26,0,W,10
BJK-TS,179,32,0,D,12
HTY-BJK,202,33,0,L,10
BJK-UMR,131,26,1,W,12
GS-BJK,92,18,1,L,8
GFK-BJK,233,31,1,D,12
BJK-ADS,192,29,1,W,12
BJK-KSP,157,30,1,W,13
KNY-BJK,177,30,1,W,11
KYS-BJK,138,15,1,W,5
BJK-ALN,275,31,1,W,15
KRG-BJK,233,22,1,D,6
SVS-BJK,150,18,1,L,8
BJK-ANT,160,38,1,D,17
BJK-AG,167,37,1,W,14
BSK-BJK,147,17,1,W,10
BJK-IST,342,22,1,W,5
FB-BJK,62,12,1,W,4
