matchday,bjk_xG,bjk_goal,bjk_shot,bjk_opp_xG,bjk_opp_goal,ts_xG,ts_goal,ts_shot,ts_opp_goal,,,,,,
1,2.5,3,19,0.2,0,3.9,5,14,1,,,,,,
2,0.5,0,7,1,0,2.0,2,14,1,,,,,,
3,2.8,1,18,1,0,1.6,1,13,0,,,,,,
4,1.6,3,16,0.2,0,1.9,2,19,2,,,,,,
5,1.8,3,19,1.3,2,0.8,1,12,0,,,,,,
6,1.6,3,13,1.4,3,0.8,2,15,2,,,,,,
7,0.8,1,12,1.4,2,1.5,1,19,1,,,,,,
8,1.3,2,10,1.2,1,2.3,2,16,1,,,,,,
9,1.9,2,18,2.1,3,2.6,3,20,1,,,,,,
10,1.6,2,10,1.2,1,0.3,1,6,0,,,,,,
11,1.8,0,17,1.3,1,2.6,2,12,1,,,,,,
12,1.8,1,17,0.7,2,0.7,2,8,1,,,,,,
13,1.1,0,16,1.6,2,1.3,3,11,0,,,,,,
14,1.2,0,13,1.8,4,2.0,2,9,0,,,,,,
15,2.1,1,14,1.4,1,0.9,2,5,0,,,,,,
16,2.5,4,21,0.8,2,1.2,1,12,2,,,,,,
17,0.9,2,14,1.7,2,1.7,2,17,0,,,,,,
18,0.7,2,10,2.7,1,1.6,2,15,1,,,,,,
19,1.0,0,12,1.1,1,0.9,0,11,0,,,,,,
20,3.5,2,22,1.6,2,2.6,1,24,0,,,,,,
21,0.9,1,16,1,0,0.9,1,10,1,,,,,,
22,1.4,1,11,1,0,2.1,1,23,1,,,,,,
23,2.8,1,18,1.4,1,1.0,2,19,1,,,,,,
24,2.0,2,17,0.5,0,0.6,1,7,0,,,,,,
25,1.5,1,12,1.7,1,2.1,2,15,1,,,,,,
26,3.3,1,18,1,0,3.1,4,17,0,,,,,,
27,2.6,3,17,2.2,2,3.2,3,22,2,,,,,,
28,2.1,2,16,1.2,2,2.2,1,17,1,,,,,,
29,0.8,1,10,1.9,2,3.0,4,16,2,,,,,,
30,2.4,1,22,1.1,1,1.4,2,10,3,,,,,,
31,2.2,1,15,0.5,1,0.5,1,8,1,,,,,,
32,1.2,4,11,0.5,1,1.2,0,19,0,,,,,,
33,0.7,0,14,1.7,0,3.8,1,30,1,,,,,,
34,1.9,0,15,1.5,3,2.7,3,11,1,,,,,,
35,2.5,3,17,2.1,2,1.6,2,9,2,,,,,,
36,2.4,1,9,0.8,1,2.5,1,15,1,,,,,,
37,0.8,2,8,2,2,2.4,2,17,1,,,,,,
38,1.2,1,21,1.5,1,2.0,1,14,3,,,,,,
