Team,Shots Against,Shots For,Goals For,Goals Against
Kasimpasa,101,63,5,14
Hatayspor,81,54,2,6
Umraniyespor,95,79,4,8
Sivasspor,91,55,4,9
Kayserispor,83,53,5,5
Antalyaspor,80,71,8,11
Ankaragucu,66,47,4,10
Gaziantep FK,78,77,11,7
Adana Demirspor,77,107,13,9
Giresunspor,77,58,5,8
Istanbulspor,62,43,2,8
Istanbul Basaksehir,57,53,9,0
Galatasaray,67,106,7,4
Alanyaspor,65,67,10,10
Trabzonspor,61,97,8,8
Fatih Karagumruk,50,58,8,10
Konyaspor,56,71,7,0
Fenerbahce,42,77,15,6
Besiktas,43,96,14,8
