Team,xG_open,goal_open,xG_set,goal_set,build_up,direct
Fenerbahce,12.24,21,4.03,4,9,19
Adana Demirspor,14.26,17,2.43,4,17,25
Trabzonspor,9.69,9,3.51,4,31,22
Istanbul Basaksehir,7.35,9,1.86,3,25,9
Besiktas,11.52,11,5.04,6,15,9
Konyaspor,8.59,7,3.27,1,14,20
Kayserispor,8.56,11,1.74,1,9,12
Galatasaray,13.2,10,2.89,0,23,20
Gaziantep FK,6.59,10,2.22,4,5,24
Alanyaspor,11.78,10,3.04,4,19,18
Kasimpasa,8.73,5,2.04,1,4,15
Fatih Karagümrük,5.76,6,5.05,10,16,10
Sivasspor,8.34,6,2.33,2,9,21
Antalyaspor,7.69,10,1.87,2,15,13
Hatayspor,10.26,6,1.54,1,17,13
Giresunspor,6.15,4,2.28,2,9,13
Ankaragücü,6.63,7,2.22,0,8,16
Istanbulspor,6.45,3,2.26,4,5,19
Ümraniyespor,8.12,2,2.23,4,9,24
