team_h,team_a,date,week,goal_h,goal_a,result,xg_h,xg_openplay_h,xg_setplay_h,xg_per_shot_h,shots_h,shots_on_target_h,shots_inside_box_h,big_chances_h,big_chances_missed_h,possession_h,passes_h,accuracy_passes_h,passes_opposition_half_h,touches_opp_h,crosses_h,successful dribbles_h,tackles_won_h,duels_won_h,xg_a,xg_openplay_a,xg_setplay_a,xg_per_shot_a,shots_a,shots_on_target_a,shots_inside_box_a,big_chances_a,big_chances_missed_a,possession_a,passes_a,accuracy_passes_a,passes_opposition_half_a,touches_opp_a,crosses_a,successful dribbles_a,tackles_won_a,duels_won_a
Besiktas,Kayserispor,2022-08-06,MD1,1,0,Besiktas,1.52,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,
Alanyaspor,Besiktas,2022-08-14,MD2,3,3,Draw,1.8,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,
Besiktas,Karagümrük,2022-08-21,MD3,4,1,Besiktas,2.57,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,
Besiktas,Sivasspor,2022-08-29,MD4,3,1,Besiktas,2.05,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,
Ankaragücü,Besiktas,2022-09-04,MD5,2,3,Besiktas,0.52,,,,,,,,,,,,,,,,,,2.64,,,,,,,,,,,,,,,,,
Besiktas,Basaksehir,2022-09-12,MD6,0,1,Basaksehir,1.85,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,
Istanbulspor,Besiktas,2022-09-17,MD7,2,2,Draw,0.66,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,
Besiktas,Fenerbahce,2022-10-02,MD8,0,0,Draw,1.02,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,
Giresunspor,Besiktas,2022-10-08,MD9,0,1,Besiktas,0.32,,,,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,
Besiktas,Trabzonspor,2022-10-16,MD10,2,2,Draw,1.84,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,
Hatayspor,Besiktas,2022-10-24,MD11,2,1,Hatayspor,0.95,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,
Besiktas,Ümraniyespor,2022-10-30,MD12,5,2,Besiktas,2.42,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,
Galatasaray,Besiktas,2022-11-04,MD13,2,1,Galatasaray,1.69,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,
Gaziantep FK,Besiktas,2022-12-25,MD14,1,1,Draw,0.68,,,,,,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,,,
Besiktas,Adana Demirspor,2022-12-29,MD15,1,0,Besiktas,1.78,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,
Besiktas,Kasimpasa,2023-01-07,MD16,2,1,Besiktas,1.73,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,
Konyaspor,Besiktas,2023-01-14,MD17,1,2,Besiktas,1.51,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,,
Kayserispor,Besiktas,2023-01-22,MD18,0,2,Besiktas,0.61,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
Besiktas,Alanyaspor,2023-01-27,MD19,3,0,Besiktas,3.03,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,
Karagümrük,Besiktas,2023-01-31,MD20,1,1,Draw,1.28,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,
Sivasspor,Besiktas,2023-02-04,MD21,1,0,Sivasspor,0.81,0.64,0.17,0.09,9,2,5,1,1,0.4,302,0.64,116,14,13,12,20,0.53,0.8,0.6,0.21,0.089,9,0,8,1,1,0.6,437,0.72,150,18,26,8,9,0.47
Besiktas,Antalyaspor,2023-02-26,MD22,0,0,Draw,1.99,0.44,0.76,0.1,20,5,17,1,1,0.61,534,0.84,160,38,27,17,10,0.58,0.08,0.02,0.06,0.027,3,1,1,0,0,0.39,355,0.7,83,4,4,3,12,0.42
Besiktas,Ankaragücü,2023-03-05,MD23,2,1,Besiktas,2.46,1.68,0.78,0.12,20,10,14,2,1,0.51,446,0.83,168,37,14,19,10,0.47,1.47,1.47,0,0.15,10,4,6,1,0,0.49,421,0.8,144,19,0,13,12,0.53
Basaksehir,Besiktas,2023-03-12,MD24,0,2,Besiktas,0.8,0.54,0.26,0.06,13,2,10,1,1,0.49,459,0.81,175,22,29,7,9,0.46,1.42,1.37,0.05,0.12,12,4,10,2,2,0.51,499,0.79,147,17,12,15,20,0.54
Besiktas,Istanbulspor,2023-03-18,MD25,3,1,Besiktas,1.34,1.04,0.3,0.11,12,3,6,2,1,0.67,652,0.89,344,20,38,16,10,0.54,0.65,0.57,0.08,0.07,10,2,3,0,0,0.33,333,0.75,81,10,7,6,11,0.46
Fenerbahce,Besiktas,2023-04-02,MD26,2,4,Besiktas,3.77,1.75,0.44,0.18,21,7,12,4,3,0.65,403,0.82,157,35,28,17,20,0.48,1.02,0.75,0.27,0.13,8,5,4,3,1,0.35,221,0.65,61,11,13,10,27,0.52
