Takım,matchdate turkce,Comp Short,Hafta,Season long,Match Date,Matchid,Max date,month turkce,Season,GD,Goals For,Goals For (copy),Maç,Points,points gd2,Shots For,X Goals For,X Goals For (copy),Şut başına xG
Hatayspor,22 Mayıs 2022,TUR,12,  2021-22,11.07.21,ADSHAT2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,12,0.6600205,0.6600205,0.055001708
Basaksehir,22 Mayıs 2022,TUR,22,  2021-22,1/19/2022,KAYBSK2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,14,0.7767759,0.7767759,0.055483993
Besiktas,22 Mayıs 2022,TUR,11,  2021-22,10/30/2021,HATBJK2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,17,1.81131,1.81131,0.106547647
Alanyaspor,22 Mayıs 2022,TUR,34,  2021-22,4/25/2022,SIVALA2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,13,0.6858343,0.6858343,0.052756485
Adana Demirspor,22 Mayıs 2022,TUR,28,  2021-22,03.04.22,MLTADS2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,20,1.585788,1.585788,0.0792894
Besiktas,22 Mayıs 2022,TUR,19,  2021-22,12/27/2021,KONBJK2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,12,0.9748692,0.9748692,0.0812391
Adana Demirspor,22 Mayıs 2022,TUR,22,  2021-22,1/18/2022,KONADS2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,15,1.038939,1.038939,0.0692626
Konyaspor,22 Mayıs 2022,TUR,9,  2021-22,10/17/2021,GALKON2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,16,0.9863809,0.9863809,0.061648806
Gaziantep,22 Mayıs 2022,TUR,21,  2021-22,1/14/2022,BJKGAZ2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,7,0.9828328,0.9828328,0.140404686
Galatasaray,22 Mayıs 2022,TUR,16,  2021-22,12/13/2021,SIVGAL2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,6,0.2191409,0.2191409,0.036523483
F. Karagumruk,22 Mayıs 2022,TUR,3,  2021-22,8/28/2021,BJKKGM2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,10,0.9924669,0.9924669,0.09924669
Altay,22 Mayıs 2022,TUR,12,  2021-22,11.06.21,ANTALT2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,9,0.4721541,0.4721541,0.052461567
Sivasspor,22 Mayıs 2022,TUR,26,  2021-22,2/20/2022,KGMSIV2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,9,0.8625609,0.8625609,0.0958401
Kasimpasa,22 Mayıs 2022,TUR,24,  2021-22,02.05.22,TRBKSP2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,15,1.021022,1.021022,0.068068133
