Player,Expected Assists,Key Passes,Pass into Final 3rd,Pass into Penalty Area,Cross into Penalty Area,Prg. Passes,Shots on Target,Goals/Shot,Goals/Shot on Target,Avg. Shot Distance,xG,npxG per Shot,Touches Attacking 3rd,Toutches Penalty Area,Carries,Prg. Carries,Carries into Penalty Area,Prg. Pass Received
Bobby Adekanye,0.11,1.3,1.85,1.05,0.25,3.28,0.63,0.13,0.4,18.4,0.17,0.09,18.5,3.74,27.1,2.69,0.92,7.02
Marouan Azarkan,0.27,2.01,2.06,2.3,0.64,5,0.44,0.11,0.33,14.1,0.17,0.12,25,3.33,31,3.28,0.78,7.99
Johan Bakayoko,0.29,1.7,1.31,2.29,0.72,2.94,1.24,0.11,0.26,18.5,0.25,0.08,35.8,5.95,38.7,6.67,3.01,15.7
Steven Bergwijn,0.32,1.81,2.12,2.65,0.35,5.58,1.38,0.14,0.33,17.1,0.39,0.12,38.6,7.69,42.8,5.46,2.35,12.3
Bartosz Bialek,0.08,1.18,0.76,0.47,0,1.53,0.65,0.14,0.45,13.9,0.28,0.14,15.7,4.88,16.6,0.53,0.59,4.41
Taylor Booth,0.21,1.73,2.08,1.45,0.92,3.35,0.75,0.07,0.15,20.1,0.13,0.08,22.6,1.68,31.6,3.24,0.64,6.07
Othman Boussaid,0.22,1.47,3.28,1.94,0.82,4.7,0.34,0.08,0.38,20.5,0.12,0.07,20.1,2.07,35,3.28,0.91,5.22
Michael Breij,0.09,1.23,1.67,0.86,0.43,3.09,0.62,0.07,0.2,18.6,0.19,0.11,17.3,2.41,24,2.16,0.74,5.12
Brian Brobbey,0.17,1.26,0.49,0.16,0,0.66,1.69,0.2,0.42,10.1,0.79,0.22,18.5,9.84,17.3,0.77,0.77,8.42
Václav Černý,0.4,2.94,2.72,2.87,0.64,5.74,1.13,0.13,0.43,20.8,0.28,0.08,37.4,5.62,40,5.43,2,10.9
Iñigo Córdoba,0.09,0.98,2.01,0.71,0.39,3.03,0.63,0.1,0.31,17.9,0.16,0.08,17.9,3.35,28.6,3.66,0.75,5.28
Vito van Crooy,0.23,2.49,1.86,1.04,0.5,2.56,0.88,0.13,0.29,22,0.3,0.09,22.2,2.52,23.5,1.14,0.5,5.55
Javairô Dilrosun,0.2,1.91,1.34,2.11,0.53,3.49,0.77,0.09,0.31,20.4,0.16,0.06,30,3.4,33.3,4.83,1.72,10.4
Landry Dimata,0.07,0.9,0.7,0.29,0.04,1.27,0.82,0.13,0.35,13.2,0.43,0.15,12.8,4.39,18,1.07,0.61,4.59
Anastasios Douvikas,0.11,0.84,0.88,0.46,0.08,1.22,1.47,0.21,0.46,12.6,0.66,0.16,16.5,5.97,18.7,1.47,0.63,6.39
Couhaib Driouech,0.13,0.96,1.23,1.04,0.35,2.27,0.77,0.06,0.15,18,0.22,0.11,17.7,3.08,22.8,3.31,1.35,6.65
Oliver Edvardsen,0.09,0.75,1.02,0.75,0.09,1.95,0.84,0.17,0.37,17.1,0.23,0.14,17.8,2.88,22,1.9,0.62,5.58
Úmaro Embaló,0.16,1.1,1.29,0.67,0.37,1.6,0.55,0.14,0.33,17.6,0.1,0.08,17.4,3.62,21.7,2.76,1.23,7.73
Santiago Giménez,0.13,0.93,0.28,0.51,0,1.31,1.36,0.17,0.52,12.8,0.69,0.17,17.3,8.04,17,1.45,1.12,6.03
