Player,Age,Season,Team,Value
Simone Verdi,28,20/21,SSC Napoli,22000000
Ciro Immobile,23,13/14,Juventus,13500000
Simone Zaza,28,19/20,Valencia,12000000
M'Baye Niang,23,18/19,AC Milan,12000000
Soualiho Meïté,24,18/19,Monaco,11500000
Armando Izzo,26,18/19,Genoa,10700000
Ola Aina,22,19/20,Chelsea,9800000
Adem Ljajic,24,16/17,AS Roma,9000000
Samuele Ricci,20,22/23,FC Empoli,8500000
Andrea Belotti,21,15/16,US Palermo,8400000
Lyanco,20,17/18,São Paulo,7750000
Karol Linetty,25,20/21,Sampdoria,7500000
Rolando Bianchi,25,08/09,Man City,7000000
Álex Berenguer,22,17/18,CA Osasuna,7000000
Alessio Cerci,25,12/13,Fiorentina,6750000
Antonio Sanabria,24,20/21,Real Betis,6500000
Iago Falque,27,16/17,AS Roma,6000000
Daniele Baselli,23,15/16,Atalanta BC,6000000
Tomás Rincón,30,18/19,Juventus,5900000
David Zima,20,21/22,Slavia Prague,5900000
Bremer,21,18/19,Atlético-MG,5800000
Mërgim Vojvoda,25,20/21,Standard Liège,5200000
Pietro Pellegri,21,22/23,Monaco,5000000
Marco Benassi,19,14/15,Inter,4800000
Davide Zappacosta,23,15/16,Atalanta BC,4300000
Simone Barone,28,06/07,US Palermo,4100000
Walter Schachner,26,83/84,Cesena,3850000
David Di Michele,31,07/08,US Palermo,3800000
Simone Vergassola,25,01/02,Sampdoria,3700000
Elvis Abbruscato,25,05/06,Arezzo,3600000
Barreto,27,12/13,Udinese Calcio,3550000
Nicolas N'Koulou,28,18/19,Olympique Lyon,3500000
Fabio Quagliarella,31,14/15,Juventus,3500000
Lorenzo De Silvestri,28,16/17,Sampdoria,3500000
Cesare Natali,28,07/08,Udinese,3500000
Nikola Maksimovic,22,14/15,Apol. Limassol,3500000
Demba Seck,20,21/22,SPAL,3500000
Yksel Osmanovski,24,01/02,Bari,3500000
Mirko Valdifiori,30,16/17,SSC Napoli,3400000
Casagrande,28,91/92,Ascoli,3400000
Juan Sánchez Miño,24,14/15,Boca Juniors,3200000
Afriyie Acquah,23,15/16,TSG Hoffenheim,3100000
Tomás Rincón,29,17/18,Juventus,3000000
Koffi Djidji,26,19/20,FC Nantes,3000000
Nicola Amoruso,33,08/09,Reggina,3000000
Francesco Pratali,29,08/09,Empoli,3000000
Josef Martínez,21,14/15,BSC Young Boys,3000000
Marko Bakic,18,12/13,Mogren,3000000
Mirco Antenucci,26,10/11,Catania,2800000
Alessandro Gazzi,29,12/13,Siena,2600000
Vanja Milinković-Savić,20,17/18,Lechia Gdansk,2600000
Cristian Ansaldi,32,19/20,Inter,2500000
Rafa Martín Vázquez,24,90/91,Real Madrid,2400000
Kamil Glik,23,11/12,US Palermo,2350000
Matteo Darmian,22,12/13,US Palermo,2330000
