Squad,Shots,npxG,npxG per Shot,Expected Assist,Progressive Passes,Total Passing Dist.,Progressive Passing Dist.,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Carries,Touches in Attacking Third,Touches in Penalty Area,Carries into Final Third,Carries into Penalty Area,Tackles in Attacking Third,Interceptions,Dist
AC Omonia,7,0.63,0.09,0.53,26.7,4991.7,1955.3,4.83,18.7,4.83,1,10.5,94,13.7,9.17,2.17,1.67,8.17,19.4
AÉK Lárnaka,8.17,0.65,0.08,0.43,27.7,5517.5,2108.7,5.33,20.5,4.33,2,11,102,13.3,9,1.83,1.33,11.5,19.2
Arsenal,16.67,2.02,0.12,1.52,52.8,9503.5,3031.5,12.7,49,12,1.83,20.3,201.2,33,15.8,6.5,3.17,5.67,16
Betis,13.5,1.22,0.09,1.03,41.2,8423.2,2647.3,11.2,35.2,7.5,1.17,16.8,171.2,19.5,17,3.5,2.5,11.8,18.6
Bodø/Glimt,10,0.95,0.1,0.83,42.5,8591,2382.3,8.17,28.2,6.67,1,22.7,127.7,18.3,14.7,5.17,1.83,7.5,16.2
Braga,12.83,1.1,0.09,0.88,40.2,8645.8,2917.2,9.33,37.8,6.5,2,15.8,139.2,16.2,13.7,2.5,2.67,7.33,18.8
Dynamo Kyiv,7,0.6,0.09,0.42,27.2,6125.5,2088.3,4.83,21.2,5.67,2,12.8,98,11.8,8.67,2,2,9.83,19.4
Fenerbahçe,11.67,1.38,0.12,1.05,43.3,7828.2,2758.7,8,34.3,10.7,1.67,15.5,167.2,26.5,13.3,5,3.17,9.5,16.2
Ferencváros,9.33,0.9,0.1,0.58,31.8,5969.8,2450.7,7.33,25.2,7.83,0.67,14.3,106.2,17.7,9.17,3.17,0.83,9.67,18.4
Feyenoord,12.83,1.28,0.1,0.88,40.2,7699.7,2719.8,9.83,30.5,7.5,1.17,18,133.5,24.2,12,6,3.67,10.2,18.4
Freiburg,14.67,1.33,0.09,1.05,44.3,8063.5,2853.5,11.5,32.3,8,2.17,17.8,141,21.7,14.8,3.67,3.5,10.5,16.9
HJK,7.17,0.68,0.1,0.65,25.7,6063.7,2330.8,6.17,22,5.33,0.67,10.3,95.8,14,7.17,3,1.67,9.17,16.4
Lazio,11.83,1.28,0.11,1.02,46.8,9315,3358.5,8.67,39.2,8.67,1.33,19.8,147,24.2,14.8,5.5,1.83,6,16.2
Ludogorets,13,1.03,0.08,0.93,35.2,7275.7,2465.7,10.2,24.3,6.67,0.83,20.2,134,18.8,14.5,5.67,2.67,11.3,20.8
Malmö,7.83,0.55,0.07,0.42,31.2,6578,2531.8,5.17,22,5.33,1.33,10,97.5,13.2,6.5,1,1.17,7.5,18.1
Manchester Utd,18.67,2.05,0.11,1.73,63.8,9716.8,3151.8,15.8,58,15.2,1.67,26,255.5,33.5,18,6.67,2,8,18.1
Midtjylland,10.67,0.83,0.08,0.68,31.3,6665.5,2359.5,7.83,26.7,4.5,1,12,108.8,18.5,8.83,4.67,2.17,12.8,19.9
Monaco,15.17,1.35,0.09,1.1,54.2,7179.3,2766.7,11.8,40.3,11.7,3.17,22.7,184.5,26.7,21.2,5.17,2,12.3,18.7
Nantes,13.33,1.08,0.08,0.95,36.2,5922.7,2323,10.8,26.2,5.5,2.67,19.8,121.2,21,12.2,4.5,1.67,10.8,16.2
Olympiacos,8.17,0.8,0.1,0.62,31.5,6518.2,2415.5,5.5,22.2,5.5,1,12.3,89,13,7.83,3.17,1.5,10.8,17.1
PSV Eindhoven,12.33,1.28,0.11,0.93,33.7,6942.5,2551.8,10.3,28,7,1.33,17.7,113,18.5,10.8,5.33,1,8,17.4
Qarabağ Ağdam,12.83,1.37,0.11,0.9,41.5,7132.5,2705.7,10.2,33,8.33,1,24.2,166.2,27.3,14.5,10.3,1.83,8.83,18.7
Real Sociedad,13.33,1.23,0.09,0.95,43.7,8578.8,2684.8,10,38.7,7,1.5,21.3,182.3,20.8,18,6,2.17,9.33,18.3
Red Star,12.5,1.03,0.08,0.92,42.5,6227,2512,10.3,26.8,8.17,3.83,13.8,113.3,20.7,12,3.33,1,11.2,18.1
Rennes,14.17,1.38,0.1,1.17,39.7,6501.8,2386,10.5,28.7,8.83,1.83,23.2,160.3,22,14.8,5.33,1.5,9.5,17.1
Roma,16.67,1.6,0.11,1.23,40.7,7834.8,2610,11.8,31.7,11.5,2.67,20,165.7,28.2,16.5,4.5,3,9.83,17.8
Sheriff Tiraspol,8.67,0.52,0.06,0.37,18.8,4062.7,1609.2,6,18,1.67,0.83,11.8,94.2,9.67,8.5,3.67,1.67,11.8,23.2
Sturm Graz,13.67,0.9,0.07,0.78,28.7,5135.2,2190,10.8,24.8,5,1.83,12.5,122.7,20,12,4.17,2.83,10.7,20.5
Trabzonspor,16,1,0.06,0.82,41.5,8545,2634.8,13.3,37.7,7,1.5,15.5,163,18.3,15.2,4.67,2.17,6.33,20.2
Union Berlin,12.83,0.8,0.06,0.63,33.8,6110,2448.7,9.83,26.2,7.83,4.17,14.7,122.8,19.7,11.3,1.83,2.5,9.5,18
Union SG,10.83,1.12,0.11,0.92,41.2,7159.3,2717,8.5,30.7,7.83,2.83,20,148.5,22.2,12.8,5.5,2.17,11.7,15.9
Zürich,12.33,1.03,0.09,0.87,29.3,6211.8,2247.7,10.2,22.7,5.33,2,14.2,108.3,17.7,8.83,4.67,2.17,8.17,19
,,,,,,,,,,,,,,,,,,,
