",,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,"
"Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report"
"2021-08-08,Sun,DFB-Pokal,Round of 64,Away,L 0Ð2,Wolfsburg,Preu§en MŸnster,Y,FW,120,1,0,0,0,5,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report"
"2021-08-14,Sat,Bundesliga,Matchweek 1,Home,W 1Ð0,Wolfsburg,Bochum,Y,FW,90,1,0,0,1,6,5,0,0,34,19,0,0,0,1.7,1.0,0.5,4,0,12,21,57.1,0,16,2,1,1,Match Report"
"2021-08-21,Sat,Bundesliga,Matchweek 2,Away,W 2Ð1,Wolfsburg,Hertha BSC,Y,FW,90,0,0,0,0,2,1,0,0,24,15,0,0,0,0.4,0.4,0.0,2,1,14,20,70.0,1,16,1,1,1,Match Report"
"2021-08-29,Sun,Bundesliga,Matchweek 3,Home,W 1Ð0,Wolfsburg,RB Leipzig,Y,FW,90,0,0,0,0,2,0,0,0,38,16,1,1,0,0.5,0.5,0.1,2,0,16,24,66.7,2,24,4,0,1,Match Report"
"2021-09-11,Sat,Bundesliga,Matchweek 4,Away,W 2Ð0,Wolfsburg,Greuther FŸrth,Y,FW,90,1,1,1,1,0,0,1,0,43,16,3,0,1,0.8,0.0,0.3,1,1,25,32,78.1,2,31,2,0,0,Match Report"
"2021-09-14,Tue,Champions Lg,Group stage,Away,D 0Ð0,de Wolfsburg,fr Lille,Y,FW,65,0,0,0,0,0,0,0,0,22,24,2,0,3,0.0,0.0,0.0,0,0,7,11,63.6,0,10,0,1,3,Match Report"
"2021-09-19,Sun,Bundesliga,Matchweek 5,Home,D 1Ð1,Wolfsburg,Eint Frankfurt,Y,FW,90,1,0,0,0,5,1,0,0,43,21,0,0,0,1.0,1.0,0.0,1,0,17,25,68.0,0,24,0,1,2,Match Report"
"2021-09-25,Sat,Bundesliga,Matchweek 6,Away,L 1Ð3,Wolfsburg,Hoffenheim,Y,FW,90,0,0,0,0,1,0,0,0,35,25,1,0,3,0.2,0.2,0.1,2,0,19,26,73.1,1,18,1,0,0,Match Report"
"2021-09-29,Wed,Champions Lg,Group stage,Home,D 1Ð1,de Wolfsburg,es Sevilla,Y,FW,89,0,0,0,0,3,1,1,0,35,27,2,0,1,0.7,0.7,0.0,1,1,14,22,63.6,2,16,2,1,1,Match Report"
"2021-10-02,Sat,Bundesliga,Matchweek 7,Home,L 1Ð3,Wolfsburg,M'Gladbach,Y,FW,90,0,0,0,0,2,0,1,0,48,30,2,0,1,0.2,0.2,0.0,2,0,25,33,75.8,1,28,1,0,1,Match Report"
"2021-10-08,Fri,WCQ,First round,Away,W 1Ð0,nl Netherlands,lv Latvia,N,,15,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report"
"2021-10-11,Mon,WCQ,First round,Home,W 6Ð0,nl Netherlands,gi Gibraltar,N,,31,0,1,0,0,1,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report"
"2021-10-16,Sat,Bundesliga,Matchweek 8,Away,L 0Ð2,Wolfsburg,Union Berlin,N,FW,23,0,0,0,0,4,4,0,0,11,3,0,0,0,0.6,0.6,0.0,1,0,4,5,80.0,0,2,0,0,0,Match Report"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
