Team,Opponent,t_goal,o_goal,Venue,xG for,xG against,MD,Season
Besiktas,Kayserispor,1,0,H,1.52,0.46,MD 1,22-23
Besiktas,Alanyaspor,3,3,A,1.32,1.8,MD 2,22-23
Besiktas,Karagümrük,4,1,H,2.57,0.91,MD 3,22-23
Besiktas,Sivasspor,3,1,H,2.05,0.72,MD 4,22-23
Fenerbahce,Ümraniyespor,3,3,H,2.41,1.33,MD 1,22-23
Fenerbahce,Kasimpasa,6,0,A,3.81,0.29,MD 2,22-23
Fenerbahce,Adana Demispor,4,2,H,1.93,2.49,MD 3,22-23
Fenerbahce,Konyaspor,0,1,A,0.57,0.96,MD 4,22-23
Galatasaray,Antalyaspor,1,0,A,1,1.15,MD 1,22-23
Galatasaray,Giresunspor,0,1,H,0.98,1,MD 2,22-23
Galatasaray,Ümraniyespor,1,0,A,1.94,0.8,MD 3,22-23
Galatasaray,Trabzonspor,0,0,A,1.08,0.57,MD 4,22-23
Trabzonspor,Istanbulspor,2,0,A,0.98,0.1,MD 1,22-23
Trabzonspor,Hatayspor,1,0,H,2.8,0.26,MD 2,22-23
Trabzonspor,Antalyaspor,2,5,A,1.29,1.82,MD 3,22-23
Trabzonspor,Galatasaray,0,0,H,0.57,1.08,MD 4,22-23
Basaksehir,Kasimpasa,4,0,H,3.33,0.95,MD 1,22-23
Basaksehir,Konyaspor,0,0,A,0.57,0.5,MD 2,22-23
Basaksehir,Kayserispor,2,0,H,1.01,0.67,MD 3,22-23
Konyaspor,Ankaragücü,0,0,A,1.1,1.4,MD 1,22-23
Konyaspor,Basaksehir,0,0,H,0.5,0.57,MD 2,22-23
Konyaspor,Istanbulspor,4,0,A,2.9,0.96,MD 3,22-23
Konyaspor,Fenerbahce,1,0,H,0.96,0.57,MD 4,22-23
Besiktas,Ankaragücü,3,2,A,2.43,0.52,MD 5,22-23
Fenerbahce,Kayserispor,2,0,H,1.55,0.71,MD 5,22-23
Basaksehir,Alanyaspor,2,0,H,1.41,0.27,MD 5,22-23
Trabzonspor,Ümraniyespor,1,0,A,1.76,0.21,MD 5,22-23
Konyaspor,Giresunspor,1,0,A,1.36,0.51,MD 5,22-23
Galatasaray,Gaziantep FK,2,1,H,2.26,0.63,MD 5,22-23
Besiktas,Basaksehir,0,1,H,1.78,0.51,MD 6,22-23
Basaksehir,Besiktas,1,0,A,0.51,1.78,MD 6,22-23
Konyaspor,Hatayspor,1,0,H,1.38,0.1,MD 6,22-23
Galatasaray,Kasimpasa,3,2,A,2.5,0.78,MD 6,22-23
Trabzonspor,Adana Demispor,3,2,A,1.32,2.22,MD 6,22-23
Besiktas,Istanbulspor,2,2,A,0.95,0.66,MD 7,22-23
Fenerbahce,Alanyaspor,5,0,H,3.65,1.08,MD 7,22-23
Trabzonspor,Gaziantep FK,3,2,H,1.84,0.75,MD 7,22-23
Trabzonspor,Kayserispor,2,1,A,2.05,1.01,MD 8,22-23
Basaksehir,Karagümrük,0,0,H,0.48,0.43,MD 7,22-23
Galatasaray,Konyaspor,2,1,H,2.37,0.78,MD 7,22-23
Konyaspor,Galatasaray,1,2,A,0.78,2.37,MD 7,22-23
Galatasaray,Adana Demispor,0,0,A,1.92,0.55,MD 8,22-23
Konyaspor,Ümraniyespor,1,0,H,0.55,0.69,MD 8,22-23
Besiktas,Fenerbahce,0,0,H,0.96,0.64,MD 8,22-23
Fenerbahce,Besiktas,0,0,A,0.64,0.96,MD 8,22-23
Basaksehir,Ankaragücü,2,1,A,0.62,1.48,MD 8,22-23
Besiktas,Giresunspor,1,0,A,1.94,0.32,MD 9,22-23
Basaksehir,Sivasspor,0,2,H,1.14,2.01,MD 9,22-23
Trabzonspor,Kasimpasa,0,0,H,0.73,0.25,MD 9,22-23
Fenerbahce,Karagümrük,5,4,H,2.85,1.62,MD 9,22-23
Konyaspor,Antalyaspor,1,1,A,1.51,0.57,MD 9,22-23
Besiktas,Trabzonspor,2,2,H,1.85,1.09,MD 10,22-23
Trabzonspor,Besiktas,2,2,A,1.09,1.85,MD 10,22-23
Basaksehir,Istanbulspor,2,0,H,0.73,0.56,MD 10,22-23
Konyaspor,Gaziantep FK,0,1,H,2.46,0.6,MD 10,22-23
Galatasaray,Kayserispor,1,2,A,0.69,1.59,MD 10,22-23
Besiktas,Hatayspor,1,2,A,1.22,0.95,MD 11,22-23
Fenerbahce,Basaksehir,1,0,H,0.65,0.32,MD 11,22-23
Basaksehir,Fenerbahce,0,1,A,0.32,0.65,MD 11,22-23
Trabzonspor,Sivasspor,1,0,H,0.71,0.93,MD 11,22-23
Konyaspor,Adana Demispor,1,1,A,0.72,1.7,MD 11,22-23
Galatasaray,Alanyaspor,2,2,H,2.13,1.32,MD 11,22-23
Galatasaray,Karagümrük,2,0,A,3.72,0.18,MD 12,22-23
Besiktas,Ümraniyespor,5,2,H,2.42,0.95,MD 12,22-23
Besiktas,Galatasaray,1,2,A,0.7,1.69,MD 13,22-23
Galatasaray,Besiktas,2,1,H,1.69,0.7,MD 13,22-23
Fenerbahce,Istanbulspor,5,2,A,1.22,2.43,MD 12,22-23
Fenerbahce,Sivasspor,1,0,H,1.61,0.28,MD 13,22-23
Fenerbahce,Giresunspor,1,2,H,1.37,1.98,MD 14,22-23
Basaksehir,Giresunspor,3,1,H,1.47,1.14,MD 12,22-23
Basaksehir,Hatayspor,3,3,A,1.43,2.36,MD 13,22-23
Basaksehir,Galatasaray,0,7,H,0.36,2.17,MD 14,22-23
Galatasaray,Basaksehir,7,0,A,2.17,0.36,MD 14,22-23
Trabzonspor,Konyaspor,2,2,H,2.7,1.38,MD 13,22-23
Trabzonspor,Ankaragücü,1,1,A,0.76,1.76,MD 14,22-23
Konyaspor,Kasimpasa,1,1,H,1.16,1.1,MD 12,22-23
Konyaspor,Trabzonspor,2,2,A,1.38,2.7,MD 13,22-23
