Player,Expected Assist,Key Passes,Pass into Final 3rd,Pass into Penalty Area,Cross into Penalty Area,Prg. Passes,Shot Creating Action,Successful Take-Ons,Goal Creating Actions,Shots on Target %,Goals per Shot,Expected Goal,Touches Attacking 3rd,Touches Penalty Area,Prg. Carrying Distance,Prg. Carries,Carries into Final 3rd,Carries into Penalty Area
Che Adams,0.1,1.09,0.95,0.5,0.09,1.54,2.57,0.09,0.32,29.8,0.11,0.3,17.1,4.66,21.2,0.77,0.5,0.41
Miguel Almirón,0.11,0.94,1.62,1.3,0.14,4.48,3.14,0.36,0.47,29,0.16,0.29,27.4,4.98,84.5,2.78,1.66,0.9
Julián Álvarez,0.1,1.1,1.35,0.8,0.12,2.27,3.2,0.37,0.31,43.5,0.17,0.43,22.1,5.46,55.7,2.33,1.1,1.04
Michail Antonio,0.04,0.74,0.59,0.39,0.1,1.33,1.92,0.3,0.44,33.3,0.13,0.33,15.2,3.94,61.2,2.41,1.28,0.89
Taiwo Awoniyi,0.02,0.64,0.38,0.13,0,0.77,1.6,0.13,0.26,42.9,0.29,0.42,13,3.53,34,1.15,0.83,0.58
Jordan Ayew,0.09,1.03,1.13,0.63,0.2,2.09,2.59,0.3,0.27,31.3,0.13,0.11,18.5,3.25,78.5,2.75,1.66,1.03
Leon Bailey,0.22,1.37,0.87,0.96,0.68,1.28,2.84,0.46,0.37,27.5,0.08,0.24,20.8,4.06,77.8,3.88,1.51,1.74
Patrick Bamford,0.05,0.71,1.07,0.54,0,1.37,1.6,0.06,0.36,33.3,0.08,0.51,15.8,4.94,26.6,1.01,1.01,0.77
Harvey Barnes,0.07,0.63,1.3,1.03,0.17,2.62,2.09,0.1,0.46,47.2,0.18,0.3,19.9,4.42,91.3,3.32,2.39,1.59
Saïd Benrahma,0.14,2.09,1.39,1,0.52,3.57,4,0.48,0.22,33.3,0.03,0.3,25.3,4.09,117.6,4.74,2.35,1.91
Jarrod Bowen,0.17,1.34,1.09,0.67,0.25,2.01,3.01,0.28,0.39,28.8,0.07,0.25,19.3,4.37,61.5,2.84,1.25,1.56
Odsonne Édouard,0.04,0.85,0.45,0.45,0,1.6,2.2,0.05,0.2,38.5,0.13,0.21,14.7,4.75,31.6,1.45,1.05,1.05
Phil Foden,0.23,2.1,1.85,1.8,0.44,4.29,4.83,0.29,0.68,47.8,0.24,0.29,38.5,6.39,104.4,3.32,2.1,1.22
Pablo Fornals,0.12,1.2,3.59,0.72,0.24,5.33,3.41,0.06,0.18,25.9,0.11,0.13,21.6,2.16,75.1,1.98,1.44,0.72
Cody Gakpo,0.12,1.42,2.04,0.68,0.06,3.09,3.02,0.19,0.37,30.8,0.18,0.38,18.4,4.69,70,2.22,1.98,0.74
Demarai Gray,0.14,1.33,1.08,0.65,0.25,1.65,3.37,0.14,0.18,38.6,0.04,0.22,23.4,3.73,88.4,3.37,2.22,1.72
Jack Grealish,0.29,2.19,1.23,2.11,0.09,4.39,4.55,0.26,0.88,36.6,0.12,0.2,33.9,5.96,174.6,6.27,3.64,2.76
Erling Haaland,0.1,0.94,0.45,0.75,0,1.88,2.34,0.16,0.55,45.7,0.25,0.92,14.1,7.05,24.7,1.14,0.32,0.81
Jack Harrison,0.17,1.76,1.89,1.69,0.7,3.42,3.79,0.23,0.3,35.9,0.13,0.16,27.8,2.69,85.8,3.42,1.86,0.8
Kai Havertz,0.1,1.33,1.72,0.91,0.07,3.12,2.21,0.04,0.14,44.3,0.09,0.41,22.5,5.79,52,2.07,1.16,1.05
Alexander Isak,0.08,0.95,1.72,0.89,0,2.84,2.9,0.3,0.3,46.9,0.16,0.49,21.2,5.8,76.9,2.43,2.13,1.3
Gabriel Jesus,0.13,1.35,1.35,0.96,0.09,2.79,3.62,0.52,0.52,40.8,0.13,0.61,25,8.34,66.2,1.92,1.35,1.22
